Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,S.N. ,Name,Type of Listing,Listing Date ,Listed Unit
,131,National Microfinance Laghubitta Bittiya Sanstha Limited,Bonus,2078.03.23,554495.025
,132,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,Bonus,2078.03.23,133100
,133,Everest Insurance Company Limited,Bonus,2078.03.24,876744
,134,Civil Lagbhubitta Bittiya Sanstha Limited,Bonus,2078.03.24,81876.795
,135,Deprosc Laghubitta Bittiya Sanstha Limited,Bonus,2078.03.27,1508150.3618
,136,Nepal Life Insurance Company Limited,Bonus,2078.03.27,17038098.51
,137,Mahalaxmi Bikas Bank Limited,Bonus,2078.03.28,2703413.96
,138,Mero Microfinance Laghubitta Bittiya Sanstha Limited,Bonus,2078.03.30,1448600
,139,Prabhu Insurance  Limited,Bonus,2078.03.31,1056274.844
,140,Nabil Debenture 2082,Debenture,2077.04.06,2000000
,141,Prabhu Bank Debenture 2084,Debenture,2077.06.06,2000000
,142,SBL Debenture 2084,Debenture,2077.08.04,3000000
,143,Sanima Debenture 2087,Debenture,2077.11.09,3052404
,144,Manjushree Finance Limited Debenture 2085,Debenture,2077.12.31,500000
,145,Nepal Investment Bank Bond 2084,Debenture,2077.12.31,4000000
,146,NCC Debenture 2086,Debenture,2078.02.10,3000000
,147,Kamana Sewa Bikas Bank Limited Debenture 2087,Debenture,2078.03.09,1000000
,148,AJOD Insurance Limited,IPO,2077.04.12,10000000
,149,Sadhana Laghubitta Bittiya Sanstha Limited,IPO,2077..04.21,2177800
,150,NRN Infrastructure & Development Limited,IPO,2077.05.09,11326821
,151,Reliance Life Insurance Limited,IPO,2077.05.22,21000000
,152,Liberty Energy Company Limited,IPO,2077.06.02,15000000
,153,Samaj Laghubitta Bittiya Sanstha Limited,IPO,2077.06.08,200000
,154,General Insurance Company Nepal Limited,IPO,2077.06.26,10000000
,155,Shiva Shree Hydropower Limited,IPO,2077.07.06,14764000
,156,Sanima General Insurance Limited,IPO,2077.07.18,10000000
,157,Mountain Energy Nepal Limited,IPO,2077.08.30,19680270
,158,United Idi Mardi & RB Hydropower Limited,IPO,2077.09.03,4200000
,159,Prabhu Life Insurance Limited,IPO,2077.09.17,20000000
,160,Chandragiri Hills Limited,IPO,2077.10.23,15340910
,161,Nepal Infrastructure Bank Limited,IPO,2077.10.29,200000000
,162,Mahila Laghubitta Bittiya Sanstha Limited ,IPO,2077.12.02,1000000
,163,Green Life Hydropower Limited ,IPO,2077.12.02,18000000
,164,Jyoti Life Insurance Company Limited ,IPO,2077.12.24,22000000
,165,Singati Hydro Energy Limited,IPO,2078.01.14,14500000
,166,RU RU Jalbidhyit Pariyojana Limited ,IPO,2078.01.19,4077055
,167,CEDB Hydropower Development Company Limited,IPO,2078.02.25,8394100
,168,Shikhar Insurance Company Limited,Right ,2077.05.14,3171932
,169,Prudential Insurance Company Limited,Right ,2077.05.21,3849120
,170,NLG Insurance Company Limited,Right ,2077.06.07,3842437.5
,171,Gurans Life Insurance Company Limited,Right ,2077.07.17,9385200
,172,Mega Bank Nepal Limited,Right ,2077.08.03,1840739.63
,173,Civil Laghubitta Bittiya Sanstha Limited,Right ,2077.08.09,1141140
,174,Sambriddhi Finance Company Limited,Right ,2077.08.30,1788249
,175,Sambriddhi Finance Company Limited,Right ,2077.10.18,430639
,176,Nepal Finance Limited,Right ,2077.10.21,1697506.25
,177,Api Power Company Limited,Right ,2077.11.09,5670000
,178,Sahara Bikas Bank Limited,Right ,2077.12.16,921148.7
,179,Nepal Bank Limited ,Right ,2077.12.26,344764
,180,Sana Kisan Laghubitta Bittiya Sanstha Limited,Right ,2078.01.05,12442
,181,Citizen Investment Trust,Right ,2078.01.05,13592592
,182,Narayani Development Bank Limited,Right ,2078.01.08,656169
,183,Multipurpose Finance Company Limited ,Right ,2078.01.14,1759621
,184,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,Right ,2078.03.08,4199
,185,Laxmi Unnnati Kosh,Mutual Fund,2077.05.28,65262360
,186,Sanima Large Cap Fund,Mutual Fund,2077.11.11,120000000
,187,Kumari Equity Fund,Mutual Fund,2078.01.05,100000000
,188,Sunrise Bluechip Fund,Mutual Fund,2078.02.13,125000000
,189,Prabhu Select Fund,Mutual Fund,2078.03.07,125000000
,190,NIBL Samriddhi Fund-2,Mutual Fund,2078.03.11,150000000
