S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
27,CBBL,23.84,"1,051.00","1,062.00","1,040.00","1,044.50","1,040.00",4.50,0.00,"1,051.82","37,511.00","1,064.72","39,454,861.30",322,-20.22,22.00,-1.90,2.12,-0.70,909.81,909.14,"1,155.00",821.50
28,CBLD88,41.16,"1,138.20","1,138.20","1,138.20","1,138.20","1,138.20",0.00,0.00,"1,138.20",50.00,"1,115.90","56,910.00",1,22.30,0.00,2.00,0.00,0.00,"1,143.57","1,121.11","1,254.20","1,034.00"
29,CFCL,22.10,525.00,532.00,520.10,522.20,527.00,-4.80,-0.01,524.31,"8,984.00",525.47,"4,710,445.10",72,-3.27,11.90,-0.62,2.29,-0.40,560.21,580.62,820.00,457.70
30,CGH,21.53,990.00,993.80,975.30,979.68,979.80,-0.12,0.00,981.21,"30,251.00",985.27,"29,682,617.70",281,-5.59,18.50,-0.57,1.90,-0.16,923.05,922.31,"1,325.00",842.10
31,CHCL,24.95,530.00,530.00,518.30,520.12,522.00,-1.88,0.00,522.47,"81,995.00",526.85,"42,839,930.10",454,-6.73,11.70,-1.28,2.26,-0.45,516.68,527.19,690.00,469.70
32,CHDC,26.87,"2,682.05","2,698.00","2,635.00","2,663.15","2,665.00",-1.85,0.00,"2,661.91","30,434.00","2,682.05","81,012,476.70",287,-18.90,63.00,-0.70,2.39,0.05,"2,527.59","2,249.82","2,997.90","1,538.60"
33,CHL,34.77,312.00,312.00,301.00,302.37,301.40,0.97,0.00,304.22,"19,983.00",310.06,"6,079,236.20",123,-7.69,11.00,-2.48,3.65,-0.61,407.54,412.36,599.70,276.00
34,CIT,22.68,"1,970.00","1,975.00","1,940.00","1,940.53","1,941.00",-0.47,0.00,"1,944.91","11,721.00","1,957.72","22,796,323.60",318,-17.19,35.00,-0.88,1.80,-0.23,"1,955.92","2,002.55","2,700.00","1,869.00"
35,CITY,25.77,589.90,636.20,589.90,636.20,636.20,0.00,0.00,635.15,"30,278.00",578.42,"19,231,148.00",235,57.78,46.30,9.99,7.85,0.16,869.41,882.74,"1,139.30",589.90
36,CIZBD90,36.06,"1,170.00","1,170.00","1,170.00","1,170.00","1,170.00",0.00,0.00,"1,170.09",55.00,"1,170.25","64,355.00",3,-0.25,0.00,-0.02,0.00,-0.01,"1,113.84",0.00,"1,207.00","1,045.00"
37,CKHL,23.05,660.20,675.00,658.00,663.24,675.00,-11.76,-0.02,662.22,"5,180.00",670.48,"3,430,294.00",67,-7.24,17.00,-1.08,2.58,0.15,698.28,716.43,910.00,590.00
38,CLI,22.62,481.00,484.00,480.00,482.56,484.00,-1.44,0.00,481.84,"19,723.00",486.85,"9,503,373.30",395,-4.29,4.00,-0.88,0.83,0.15,526.14,583.27,774.90,448.20
39,CMF2,20.28,9.79,9.98,9.79,9.90,9.90,0.00,0.00,9.88,"3,000.00",9.91,"29,640.00",8,-0.01,0.19,-0.10,1.94,0.20,9.57,9.56,10.86,9.00
40,CORBL,29.33,"2,001.00","2,030.00","1,981.00","1,984.46","1,982.00",2.46,0.00,"1,994.35","3,638.00","2,018.63","7,255,443.60",95,-34.17,49.00,-1.69,2.47,-0.50,"2,162.51","1,993.24","2,842.30",661.50
41,CREST,28.09,"1,330.00","1,340.00","1,316.00","1,317.49","1,319.00",-1.51,0.00,"1,322.55","6,454.00","1,329.84","8,535,760.80",386,-12.35,24.00,-0.93,1.82,-0.38,0.00,0.00,"2,458.20",302.50
42,CYCL,29.06,"1,804.00","1,839.00","1,695.00","1,778.17","1,798.00",-19.83,-0.01,"1,791.08","13,647.00","1,833.43","24,442,870.80",219,-55.26,144.00,-3.01,8.50,-0.73,"1,688.45","1,678.07","2,040.00","1,448.00"
43,CZBIL,22.79,214.20,222.00,214.20,215.33,215.00,0.33,0.00,216.49,"64,587.00",218.53,"13,982,391.40",219,-3.20,7.80,-1.46,3.64,-0.54,212.77,214.98,296.00,196.00
44,DDBL,28.47,922.00,922.00,903.60,907.06,905.00,2.06,0.00,905.43,"37,888.00",911.40,"34,304,928.90",142,-4.34,18.40,-0.48,2.04,0.18,821.63,830.02,"1,099.00",759.00
45,DHPL,22.76,307.10,313.90,307.10,308.27,308.00,0.27,0.00,309.62,"11,446.00",311.77,"3,543,913.00",127,-3.50,6.80,-1.12,2.21,-0.44,353.62,335.60,427.20,213.10
46,DLBS,25.28,"1,559.72","1,575.00","1,495.00","1,524.24","1,530.00",-5.76,0.00,"1,527.17","1,927.00","1,559.72","2,942,849.70",69,-35.48,80.00,-2.27,5.35,-0.19,"1,550.65","1,597.36","2,250.00","1,200.10"
47,DOLTI,23.57,570.00,590.00,570.00,575.98,576.90,-0.92,0.00,580.72,"7,140.00",576.09,"4,146,359.50",95,-0.11,20.00,-0.02,3.51,-0.82,628.45,655.18,"1,017.00",452.50
48,DORDI,25.46,293.40,299.90,288.00,288.52,288.10,0.42,0.00,291.15,"86,859.00",296.65,"25,288,582.40",501,-8.13,11.90,-2.74,4.13,-0.91,384.09,441.18,696.00,288.00
49,EBL,30.23,715.00,718.00,701.10,709.49,710.00,-0.51,0.00,706.77,"143,996.00",709.53,"101,772,278.70",692,-0.04,16.90,-0.01,2.41,0.38,644.27,628.49,790.00,567.00
50,EBLD85,42.51,"1,130.00","1,132.20","1,130.00","1,132.20","1,132.20",0.00,0.00,"1,131.91",115.00,"1,110.00","130,170.00",4,22.20,2.20,2.00,0.19,0.03,"1,129.93","1,114.95","1,200.00","1,095.00"
51,EBLD91,35.51,"1,006.00","1,006.00",996.00,"1,000.00","1,000.00",0.00,0.00,"1,001.02",225.00,"1,006.00","225,230.00",7,-6.00,10.00,-0.60,1.00,-0.10,0.00,0.00,"1,050.00",996.00
52,EBLEB89,29.69,996.10,996.10,996.10,996.10,996.10,0.00,0.00,996.10,25.00,"1,005.00","24,902.50",1,-8.90,0.00,-0.89,0.00,0.00,0.00,0.00,"1,050.60",996.10
53,EDBL,19.36,629.00,629.00,619.00,622.04,620.90,1.14,0.00,622.90,"5,533.00",629.37,"3,446,523.30",57,-7.33,10.00,-1.16,1.62,-0.14,635.05,637.86,838.20,517.50
54,EHPL,25.06,603.70,625.00,603.70,605.45,605.00,0.45,0.00,607.67,"4,104.00",615.89,"2,493,859.30",51,-10.44,21.30,-1.70,3.53,-0.37,660.30,701.75,997.00,530.30
55,ENL,22.75,"1,056.00","1,070.00","1,052.00","1,056.51","1,052.00",4.51,0.00,"1,061.26","1,810.00","1,070.35","1,920,887.90",42,-13.84,18.00,-1.29,1.71,-0.45,"1,149.12","1,171.43","1,452.00","1,022.10"
56,FMDBL,21.68,920.60,920.60,891.00,891.89,892.90,-1.01,0.00,901.89,"63,014.00",902.62,"56,831,552.10",319,-10.73,29.60,-1.19,3.32,-1.12,793.35,784.44,"1,038.80",687.00
57,FMDBLP,22.00,280.50,280.50,280.50,280.50,280.50,0.00,0.00,280.15,"30,000.00",280.50,"8,404,500.00",1,0.00,0.00,0.00,0.00,0.12,0.00,0.00,370.00,280.50
58,FOWAD,23.25,"1,185.00","1,208.90","1,185.00","1,190.08","1,186.00",4.08,0.00,"1,192.56","4,214.00","1,204.00","5,025,445.80",65,-13.92,23.90,-1.16,2.02,-0.21,"1,175.94","1,225.22","1,698.00","1,059.30"
59,GBBD85,29.71,"1,034.50","1,034.50","1,034.00","1,034.00","1,034.00",0.00,0.00,"1,034.33",75.00,"1,045.00","77,575.00",4,-11.00,0.50,-1.05,0.05,-0.03,"1,050.59","1,045.65","1,110.00",978.10
60,GBBL,22.00,422.00,441.00,422.00,424.28,425.00,-0.72,0.00,425.06,"56,103.00",424.28,"23,847,207.90",249,0.00,19.00,0.00,4.50,-0.18,406.08,410.62,531.40,378.70
61,GBIME,22.25,260.70,260.70,252.00,254.28,254.00,0.28,0.00,254.68,"155,475.00",255.68,"39,596,776.70",497,-1.40,8.70,-0.55,3.45,-0.16,232.73,231.75,302.00,210.70
62,GBIMEP,33.29,110.00,110.00,110.00,110.00,110.00,0.00,0.00,110.00,"10,335.00",110.00,"1,136,850.00",2,0.00,0.00,0.00,0.00,0.00,117.47,128.80,122.00,100.00
63,GBLBS,21.75,842.00,842.00,831.00,836.17,838.50,-2.33,0.00,836.94,"5,938.00",841.69,"4,969,775.50",61,-5.52,11.00,-0.66,1.32,-0.09,834.22,823.93,987.00,667.10
64,GCIL,30.66,503.00,507.00,500.00,500.36,500.00,0.36,0.00,503.16,"62,159.00",506.80,"31,276,136.00",487,-6.44,7.00,-1.27,1.40,-0.56,521.11,512.12,640.00,465.20
65,GFCL,22.07,680.00,680.00,662.30,664.69,664.00,0.69,0.00,667.09,"12,030.00",676.35,"8,025,117.50",112,-11.66,17.70,-1.72,2.67,-0.36,674.21,728.87,"1,353.00",591.50
66,GHL,23.39,243.40,247.90,242.00,243.29,244.00,-0.71,0.00,244.00,"101,876.00",245.50,"24,857,591.70",358,-2.21,5.90,-0.90,2.44,-0.29,261.68,246.33,318.00,193.50
67,GIBF1,27.14,11.14,11.15,11.13,11.14,11.14,0.00,0.00,11.15,"113,150.00",11.13,"1,261,588.50",29,0.01,0.02,0.09,0.18,-0.09,10.38,10.23,11.68,8.84
68,GILB,29.56,"1,358.00","1,367.00","1,341.00","1,343.15","1,341.30",1.85,0.00,"1,348.35","3,689.00","1,357.93","4,974,057.00",87,-14.78,26.00,-1.09,1.94,-0.39,"1,286.68","1,275.42","1,470.00","1,118.20"
69,GLBSL,24.28,"2,333.00","2,335.00","2,265.50","2,270.35","2,275.00",-4.65,0.00,"2,285.16","2,106.00","2,332.64","4,812,557.20",64,-62.29,69.50,-2.67,3.07,-0.65,"2,639.09","2,556.76","3,486.00","1,560.00"
70,GLH,22.92,268.50,270.00,265.00,266.35,266.10,0.25,0.00,266.63,"59,586.00",268.97,"15,887,600.60",299,-2.62,5.00,-0.97,1.89,-0.11,263.47,259.82,336.00,223.80
71,GMFBS,25.56,"1,674.00","1,674.00","1,575.00","1,587.34","1,575.00",12.34,0.01,"1,599.76","2,004.00","1,645.10","3,205,927.30",43,-57.76,99.00,-3.51,6.29,-0.78,"1,633.95","1,681.74","1,980.00","1,397.00"
72,GMFIL,22.93,499.00,499.00,488.00,488.39,490.00,-1.61,0.00,490.48,"11,234.00",493.56,"5,510,093.00",71,-5.17,11.00,-1.05,2.25,-0.43,504.35,530.54,759.00,436.50
73,GMLI,34.01,"2,056.20","2,095.00","2,033.00","2,047.30","2,045.00",2.30,0.00,"2,051.64","2,809.00","2,082.51","5,763,049.00",155,-35.21,62.00,-1.69,3.05,-0.21,"2,123.46",0.00,"2,778.00",301.00
74,GRDBL,32.50,"1,218.00","1,225.00","1,137.00","1,169.65","1,170.00",-0.35,0.00,"1,179.05","31,300.00","1,217.19","36,904,245.50",367,-47.54,88.00,-3.91,7.74,-0.80,"1,313.44","1,256.37","2,001.40",571.00
75,GSY,20.96,9.74,9.74,9.40,9.41,9.41,0.00,0.00,9.59,"11,900.00",9.93,"114,090.50",40,-0.52,0.34,-5.24,3.62,-1.89,0.00,0.00,10.30,8.80
76,GUFL,24.40,550.00,561.00,543.00,546.83,546.10,0.73,0.00,548.31,"10,350.00",553.48,"5,675,005.80",104,-6.65,18.00,-1.20,3.31,-0.27,576.66,614.37,"1,041.00",521.50
77,GVL,25.51,540.20,567.00,540.20,556.07,557.00,-0.93,0.00,559.88,"171,086.00",543.84,"95,787,513.20",702,12.23,26.80,2.25,4.96,-0.69,487.50,509.10,662.00,424.00
78,GWFD83,41.63,"1,190.00","1,225.90","1,190.00","1,224.99","1,225.90",-0.91,0.00,"1,204.70","1,487.00","1,201.00","1,791,387.00",8,23.99,35.90,2.00,3.02,1.66,"1,236.17","1,225.95","1,464.80","1,090.00"
79,H8020,19.71,11.56,11.70,11.51,11.55,11.55,0.00,0.00,11.54,"8,500.00",11.65,"98,102.00",22,-0.10,0.19,-0.86,1.65,0.07,10.83,10.57,12.06,9.60
80,HATHY,23.87,"1,215.00","1,227.80","1,210.00","1,214.98","1,214.00",0.98,0.00,"1,217.15","14,457.00","1,227.65","17,596,347.50",254,-12.67,17.80,-1.03,1.47,-0.18,"1,308.42","1,339.99","1,790.00","1,180.30"
81,HBL,25.74,224.50,225.00,219.40,221.07,221.00,0.07,0.00,221.67,"104,854.00",226.10,"23,242,857.60",401,-5.03,5.60,-2.22,2.55,-0.27,229.50,233.67,312.10,210.00
82,HBLD83,37.29,"1,088.00","1,096.00","1,088.00","1,096.00","1,096.00",0.00,0.00,"1,094.85",565.00,"1,095.50","618,591.50",6,0.50,8.00,0.05,0.74,0.10,"1,046.04",0.00,"1,097.00","1,040.00"
83,HBLD86,45.81,"1,117.10","1,139.00","1,117.10","1,138.96","1,139.00",-0.04,0.00,"1,135.44",155.00,"1,095.20","175,993.00",4,43.76,21.90,4.00,1.96,0.31,"1,093.88",0.00,"1,180.80","1,044.00"
84,HDHPC,25.52,199.80,205.50,199.80,202.89,202.80,0.09,0.00,203.31,"140,228.00",203.82,"28,510,243.30",451,-0.93,5.70,-0.46,2.85,-0.21,202.73,203.40,273.00,184.00
85,HDL,25.97,"1,350.00","1,351.89","1,330.00","1,332.27","1,331.00",1.27,0.00,"1,338.42","117,650.00","1,351.89","157,465,152.60","1,036",-19.62,21.89,-1.45,1.65,-0.46,"1,232.59","1,247.51","1,665.00","1,136.00"
86,HEI,25.24,571.00,581.30,570.00,574.95,577.80,-2.85,0.00,575.62,"10,489.00",578.40,"6,037,701.70",83,-3.45,11.30,-0.60,1.98,-0.12,600.11,616.60,810.00,547.40
87,HEIP,26.62,362.00,368.80,361.60,366.82,364.00,2.82,0.01,364.03,"10,520.00",368.23,"3,829,568.40",11,-1.41,7.20,-0.38,1.99,0.76,373.19,407.78,563.00,342.20
88,HHL,24.71,382.10,392.00,375.00,375.33,376.00,-0.67,0.00,377.76,"59,647.00",386.00,"22,532,360.20",404,-10.67,17.00,-2.76,4.53,-0.65,456.13,480.43,635.00,351.00
89,HIDCL,31.94,282.80,292.00,282.80,288.04,288.00,0.04,0.00,289.07,"164,752.00",288.56,"47,625,018.20",616,-0.52,9.20,-0.18,3.25,-0.36,292.93,279.32,360.00,225.40
90,HIDCLP,22.52,209.70,211.00,206.10,207.78,208.00,-0.22,0.00,208.21,"285,172.00",207.42,"59,374,445.70",389,0.36,4.90,0.17,2.38,-0.20,200.05,190.01,239.00,138.40
91,HLBSL,27.69,"1,020.00","1,045.00","1,020.00","1,023.59","1,025.00",-1.41,0.00,"1,030.48","7,461.00","1,040.52","7,688,438.50",77,-16.93,25.00,-1.63,2.45,-0.67,984.87,986.38,"1,158.20",817.00
92,HLI,23.04,410.00,413.80,407.50,407.96,407.80,0.16,0.00,408.74,"73,858.00",411.48,"30,188,475.80",548,-3.52,6.30,-0.86,1.55,-0.19,417.61,434.27,607.00,377.70
93,HPPL,38.15,510.00,518.80,507.00,510.08,509.00,1.08,0.00,510.24,"41,442.00",514.31,"21,145,426.40",206,-4.23,11.80,-0.82,2.33,-0.03,558.64,520.13,711.00,290.10
94,HRL,27.34,990.00,"1,020.00",990.00,"1,000.51","1,000.00",0.51,0.00,"1,004.95","238,506.00","1,000.54","239,687,207.10","1,729",-0.03,30.00,0.00,3.03,-0.44,974.23,927.63,"1,156.00",746.20
95,HURJA,24.74,250.40,250.40,242.00,242.30,242.20,0.10,0.00,243.32,"99,332.00",245.52,"24,169,335.40",335,-3.22,8.40,-1.31,3.47,-0.42,251.71,247.33,291.70,198.00
96,ICFC,30.14,699.00,699.00,665.00,669.10,674.00,-4.90,-0.01,672.07,"25,450.00",685.84,"17,104,257.30",173,-16.74,34.00,-2.44,5.11,-0.44,628.37,651.84,910.00,555.00
97,ICFCD88,39.66,"1,055.10","1,075.00","1,055.10","1,075.00","1,075.00",0.00,0.00,"1,063.94",45.00,"1,060.00","47,877.50",2,15.00,19.90,1.42,1.89,1.03,0.00,0.00,"1,125.00","1,000.00"
98,IGI,24.25,530.10,548.90,530.10,535.24,535.20,0.04,0.00,536.14,"21,276.00",535.77,"11,406,870.10",108,-0.53,18.80,-0.10,3.55,-0.17,564.31,575.84,760.00,510.00
99,IHL,20.79,555.00,560.00,549.00,552.62,553.20,-0.58,0.00,552.94,"1,945.00",556.40,"1,075,469.50",57,-3.78,11.00,-0.68,2.00,-0.06,622.82,641.93,838.00,440.00
100,ILBS,33.78,"1,219.80","1,290.00","1,202.00","1,224.78","1,213.00",11.78,0.01,"1,232.50","30,451.00","1,244.68","37,530,990.40",288,-19.90,88.00,-1.60,7.32,-0.63,942.05,960.67,"1,290.00",795.20
101,ILI,22.80,451.00,455.80,451.00,452.62,453.00,-0.38,0.00,452.93,"16,002.00",455.23,"7,247,860.90",439,-2.61,4.80,-0.57,1.06,-0.07,465.73,471.89,606.00,430.50
102,JBBD87,26.29,"1,051.00","1,051.00","1,051.00","1,051.00","1,051.00",0.00,0.00,"1,051.00",25.00,"1,058.00","26,275.00",1,-7.00,0.00,-0.66,0.00,0.00,"1,061.88","1,037.61","1,182.00",975.00
103,JBBL,23.31,362.10,362.10,348.00,351.63,352.00,-0.37,0.00,350.93,"81,813.00",355.02,"28,711,024.50",373,-3.39,14.10,-0.95,4.05,0.20,344.03,352.91,445.00,315.00
104,JBLB,23.33,"1,425.00","1,440.00","1,416.00","1,423.01","1,425.00",-1.99,0.00,"1,427.49","8,097.00","1,432.20","11,558,420.90",169,-9.19,24.00,-0.64,1.69,-0.32,"1,359.83","1,404.23","1,920.00","1,270.70"
105,JBLBP,32.42,100.00,100.00,100.00,100.00,100.00,0.00,0.00,500.00,"78,500.00",100.00,"39,250,000.00",1,0.00,0.00,0.00,0.00,-400.00,0.00,0.00,100.00,100.00
106,JFL,24.25,505.00,505.00,485.50,486.21,486.00,0.21,0.00,487.61,"18,776.00",495.28,"9,155,362.00",160,-9.07,19.50,-1.83,4.02,-0.29,502.11,595.42,"1,083.30",400.00
107,JOSHI,23.95,320.00,326.30,320.00,321.73,322.00,-0.27,0.00,322.29,"12,855.00",323.67,"4,143,015.70",140,-1.94,6.30,-0.60,1.97,-0.17,377.89,388.59,521.60,265.00
108,JSLBB,22.11,"1,350.00","1,376.30","1,350.00","1,356.06","1,354.00",2.06,0.00,"1,355.42",932.00,"1,372.98","1,263,247.00",19,-16.92,26.30,-1.23,1.95,0.05,"1,432.61","1,496.94","1,860.40","1,216.20"
109,KBL,23.45,215.60,215.60,208.00,208.30,209.70,-1.40,-0.01,209.55,"317,703.00",211.39,"66,574,994.20",982,-3.09,7.60,-1.46,3.65,-0.60,209.16,210.87,272.90,192.10
110,KBSH,25.23,"1,932.00","1,970.00","1,932.00","1,940.24","1,940.00",0.24,0.00,"1,941.87",563.00,"1,970.22","1,093,275.40",23,-29.98,38.00,-1.52,1.97,-0.08,"2,132.98","2,287.95","3,300.00","1,715.00"
111,KDBY,30.69,10.10,10.24,10.10,10.24,10.24,0.00,0.00,10.23,"35,200.00",10.30,"360,116.00",54,-0.06,0.14,-0.58,1.39,0.09,9.58,9.56,11.00,8.51
112,KDL,23.18,"1,079.00","1,099.00","1,079.00","1,085.98","1,084.00",1.98,0.00,"1,088.54","2,303.00","1,094.00","2,506,905.50",76,-8.02,20.00,-0.73,1.85,-0.24,"1,137.07","1,133.01","1,329.00",970.00
113,KEF,25.48,10.00,10.19,9.82,9.93,9.99,-0.06,-0.01,9.95,"10,200.00",9.86,"101,439.00",26,0.07,0.37,0.71,3.77,-0.15,9.19,9.15,10.76,7.91
114,KKHC,35.27,280.00,280.00,268.00,268.95,268.50,0.45,0.00,270.22,"15,186.00",278.02,"4,103,563.70",133,-9.07,12.00,-3.26,4.48,-0.47,348.94,354.98,475.90,235.20
115,KMCDB,41.89,"1,091.20","1,139.00","1,086.00","1,131.17","1,125.00",6.17,0.01,"1,121.32","14,898.00","1,107.09","16,705,428.00",234,24.08,53.00,2.18,4.88,0.87,"1,064.42","1,076.75","1,270.00",950.60
116,KPCL,22.96,575.10,608.00,575.10,599.02,600.00,-0.98,0.00,594.75,"94,990.00",585.14,"56,495,069.10",472,13.88,32.90,2.37,5.72,0.71,555.32,552.25,711.00,440.00
117,KSBBL,23.86,516.90,525.00,508.00,516.23,516.00,0.23,0.00,516.11,"122,047.00",517.02,"62,989,659.50",356,-0.79,17.00,-0.15,3.35,0.02,463.38,459.97,588.00,416.00
118,KSBBLD87,31.85,"1,050.00","1,050.00","1,050.00","1,050.00","1,050.00",0.00,0.00,"1,050.00",10.00,"1,044.40","10,500.00",1,5.60,0.00,0.54,0.00,0.00,"1,062.64","1,040.76","1,110.00",983.50
119,KSY,24.11,9.48,9.57,9.48,9.55,9.55,0.00,0.00,9.53,"1,550.00",9.47,"14,767.50",11,0.08,0.09,0.84,0.95,0.24,9.22,9.15,10.91,8.25
120,LBBL,27.06,560.00,569.00,540.00,559.88,563.50,-3.62,-0.01,556.55,"364,104.00",551.03,"202,642,070.10","1,019",8.85,29.00,1.61,5.37,0.59,459.17,467.44,646.30,376.50
121,LEC,27.68,237.00,237.00,227.00,229.55,230.00,-0.45,0.00,229.32,"485,314.00",236.22,"111,291,853.40","1,413",-6.67,10.00,-2.82,4.41,0.10,217.63,216.46,344.00,195.00
122,LICN,25.42,873.00,890.00,868.00,869.85,873.00,-3.15,0.00,871.77,"19,009.00",884.96,"16,571,515.80",213,-15.11,22.00,-1.71,2.53,-0.22,979.06,"1,048.91","2,475.00",830.00
123,LLBS,25.30,"1,133.00","1,154.00","1,081.20","1,084.87","1,082.00",2.87,0.00,"1,099.81","3,126.00","1,155.82","3,437,993.70",79,-70.95,72.80,-6.14,6.73,-1.38,"1,103.49","1,115.16","1,367.30",990.00
