S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
13,BARUN,40.37,399.00,407.10,379.40,381.72,380.00,1.72,0.00,389.62,"96,404.00",391.41,"37,561,332.81",572,-9.69,27.70,-2.48,7.30,-2.07,470.21,456.73,589.00,296.10
14,BBC,27.42,"5,690.00","5,690.00","5,488.00","5,512.00","5,501.00",11.00,0.00,"5,553.60",811.00,"5,588.30","4,503,971.00",60,-76.30,202.00,-1.37,3.68,-0.75,"5,622.68","5,618.60","7,247.00","4,010.00"
15,BEDC,26.17,752.00,765.00,741.60,749.63,742.40,7.23,0.01,750.51,"16,227.00",760.57,"12,178,583.00",121,-10.94,23.40,-1.44,3.16,-0.12,752.39,730.92,"1,080.00",417.10
16,BFC,26.06,535.00,535.00,516.00,519.21,518.00,1.21,0.00,519.70,"28,375.00",525.44,"14,746,629.30",171,-6.23,19.00,-1.19,3.68,-0.10,536.78,592.73,951.60,456.00
17,BFCPO,29.40,273.80,273.80,273.80,273.80,273.80,0.00,0.00,273.80,"71,160.00",279.30,"19,483,608.00",1,-5.50,0.00,-1.97,0.00,0.00,0.00,0.00,350.00,273.80
18,BGWT,35.95,932.00,935.00,911.40,914.21,913.20,1.01,0.00,919.88,"5,954.00",933.21,"5,476,937.80",107,-19.00,23.60,-2.04,2.59,-0.62,994.18,"1,005.51","1,241.00",857.60
19,BHDC,28.10,615.00,615.00,582.10,588.41,590.00,-1.59,0.00,591.08,"72,752.00",608.53,"43,002,355.20",432,-20.12,32.90,-3.31,5.65,-0.45,556.08,596.02,829.70,426.00
20,BHL,33.28,222.30,222.30,209.00,211.27,210.50,0.77,0.00,212.99,"784,628.00",218.01,"167,118,504.10","2,322",-6.74,13.30,-3.09,6.36,-0.81,258.65,296.62,520.00,202.20
21,BHPL,33.05,808.00,815.00,795.50,795.67,796.00,-0.33,0.00,805.74,"2,635.00",807.72,"2,123,129.50",50,-12.05,19.50,-1.49,2.45,-1.27,941.57,917.67,"1,308.40",654.00
22,BNHC,39.26,523.00,550.60,523.00,541.36,545.00,-3.64,-0.01,542.26,"64,105.00",523.18,"34,761,706.90",436,18.18,27.60,3.47,5.28,-0.17,520.14,517.30,689.80,440.00
23,BNL,40.64,"17,400.00","17,400.00","17,100.00","17,400.00","17,400.00",0.00,0.00,"17,183.28",180.00,"17,200.00","3,092,990.00",6,200.00,300.00,1.16,1.75,1.25,"17,188.41","17,358.16","22,500.00","14,900.00"
24,BNT,27.38,"12,779.00","12,780.00","12,540.00","12,546.70","12,540.10",6.60,0.00,"12,603.88",211.00,"12,530.10","2,659,418.00",16,16.60,240.00,0.13,1.91,-0.46,"12,853.40","13,223.82","17,523.00","12,050.00"
25,BOKD86,29.98,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",0.00,0.00,"1,040.00",26.00,"1,060.00","27,040.00",1,-20.00,0.00,-1.89,0.00,0.00,"1,041.46","1,024.25","1,095.00",975.10
26,BPCL,27.94,892.60,909.60,860.00,866.97,861.00,5.97,0.01,887.36,"334,911.00",887.40,"297,187,851.10",934,-20.43,49.60,-2.30,5.77,-2.35,602.31,540.23,"1,065.00",375.10
27,C30MF,20.87,10.20,10.31,10.10,10.24,10.22,0.02,0.00,10.24,"26,230.00",10.30,"268,482.40",19,-0.06,0.21,-0.58,2.08,0.04,9.54,9.50,10.92,8.65
28,CBBL,30.93,"1,077.36","1,096.50","1,060.50","1,064.72","1,064.00",0.72,0.00,"1,072.04","51,948.00","1,077.36","55,690,538.90",341,-12.64,36.00,-1.17,3.39,-0.69,908.36,908.68,"1,155.00",821.50
29,CBLD88,38.27,"1,111.00","1,133.00","1,111.00","1,115.90","1,115.90",0.00,0.00,"1,124.74",89.00,"1,120.90","100,101.50",3,-5.00,22.00,-0.45,1.98,-0.79,"1,143.42","1,120.63","1,254.20","1,034.00"
