,,,,,,,,,,,,,,,,,,,,,,,
38,CORBL,34.06,"2,050.00","2,133.80","2,009.00","2,040.81","2,055.00",-14.19,-0.01,"2,050.64","15,493.00","2,081.76","31,770,489.00",207,-40.95,124.80,-1.97,6.21,-0.48,"2,162.80","1,981.76","2,842.30",638.00
39,CREST,27.07,"1,335.00","1,355.00","1,335.00","1,338.13","1,339.00",-0.87,0.00,"1,340.52","14,195.00","1,335.74","19,028,615.90",457,2.39,20.00,0.18,1.50,-0.18,0.00,0.00,"2,458.20",302.50
40,CYCL,42.17,"1,982.00","2,021.00","1,901.20","1,945.14","1,947.70",-2.56,0.00,"1,935.30","19,625.00","1,944.49","37,980,254.40",349,0.65,119.80,0.03,6.30,0.51,"1,686.99","1,675.08","2,040.00","1,448.00"
41,CZBIL,25.24,225.00,226.90,220.00,224.80,224.20,0.60,0.00,223.00,"93,128.00",220.66,"20,767,515.10",265,4.14,6.90,1.88,3.14,0.80,212.63,215.15,296.00,196.00
42,DDBL,24.54,920.10,935.00,920.10,926.16,931.80,-5.64,-0.01,928.89,"13,473.00",920.75,"12,514,905.60",135,5.41,14.90,0.59,1.62,-0.29,819.78,830.13,"1,099.00",759.00
43,DHPL,27.18,326.00,326.00,317.20,320.52,320.10,0.42,0.00,320.74,"20,304.00",321.17,"6,512,219.90",133,-0.65,8.80,-0.20,2.77,-0.07,353.74,335.00,427.20,213.10
44,DLBS,46.04,"1,600.00","1,625.00","1,588.00","1,602.20","1,614.90",-12.70,-0.01,"1,605.50","3,721.00","1,599.25","5,974,047.20",102,2.95,37.00,0.18,2.33,-0.21,"1,554.94","1,595.64","2,250.00","1,200.10"
45,DOLTI,22.70,580.00,587.00,570.30,575.72,575.00,0.72,0.00,575.15,"4,650.00",576.07,"2,674,448.40",109,-0.35,16.70,-0.06,2.93,0.10,631.62,655.72,"1,017.00",450.00
46,DORDI,25.03,302.00,305.90,302.00,304.20,304.10,0.10,0.00,304.08,"65,561.00",303.69,"19,936,010.30",407,0.51,3.90,0.17,1.29,0.04,389.87,443.02,696.00,300.10
47,EBL,25.34,701.00,717.00,701.00,707.57,711.00,-3.43,0.00,709.46,"71,174.00",705.66,"50,495,190.60",260,1.91,16.00,0.27,2.28,-0.27,642.58,627.28,790.00,567.00
48,EBLD86,26.20,"1,022.10","1,022.10","1,022.10","1,022.10","1,022.10",0.00,0.00,"1,022.10",10.00,"1,038.00","10,221.00",1,-15.90,0.00,-1.53,0.00,0.00,"1,044.74","1,034.51","1,080.00",995.00
49,EBLD91,44.63,"1,012.00","1,013.00","1,010.00","1,010.00","1,010.00",0.00,0.00,"1,011.80",200.00,"1,017.00","202,360.00",6,-7.00,3.00,-0.69,0.30,-0.18,0.00,0.00,"1,050.00",996.00
50,EBLEB89,36.61,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",0.00,0.00,"1,005.00",25.00,"1,005.10","25,125.00",1,-0.10,0.00,-0.01,0.00,0.00,0.00,0.00,"1,050.60","1,000.00"
51,EDBL,22.39,636.20,649.70,636.20,641.17,640.00,1.17,0.00,642.02,"12,570.00",635.57,"8,070,167.80",69,5.60,13.50,0.88,2.12,-0.13,636.86,638.44,838.20,481.00
52,EHPL,22.60,601.30,629.40,601.30,618.12,625.00,-6.88,-0.01,621.53,"2,189.00",613.53,"1,360,525.70",52,4.59,28.10,0.75,4.67,-0.55,663.94,704.12,997.00,530.30
53,ENL,25.84,"1,050.50","1,079.90","1,050.50","1,057.64","1,055.00",2.64,0.00,"1,061.81","3,134.00","1,057.45","3,327,702.10",78,0.19,29.40,0.02,2.80,-0.39,"1,150.38","1,172.36","1,452.00","1,022.10"
54,FMDBL,24.97,921.00,942.90,920.00,921.86,922.10,-0.24,0.00,930.92,"84,272.00",928.01,"78,450,709.10",394,-6.15,22.90,-0.66,2.49,-0.98,791.83,783.04,"1,038.80",687.00
55,FOWAD,25.15,"1,250.80","1,250.80","1,228.00","1,230.92","1,234.00",-3.08,0.00,"1,232.30","4,537.00","1,229.60","5,590,948.80",92,1.32,22.80,0.11,1.86,-0.11,"1,177.41","1,228.52","1,698.00","1,059.30"
56,GBBD85,32.27,"1,038.00","1,038.00","1,036.00","1,036.00","1,036.00",0.00,0.00,"1,036.80",25.00,"1,053.00","25,920.00",2,-17.00,2.00,-1.61,0.19,-0.08,"1,051.08","1,045.40","1,110.00",978.10
57,GBBL,22.72,440.00,440.60,432.00,436.35,436.00,0.35,0.00,436.07,"53,650.00",431.99,"23,395,209.70",248,4.36,8.60,1.01,1.99,0.06,405.62,410.89,531.40,378.70
58,GBILD84/85,25.60,"1,141.00","1,141.00","1,141.00","1,141.00","1,141.00",0.00,0.00,"1,141.00",25.00,"1,138.88","28,525.00",1,2.12,0.00,0.19,0.00,0.00,"1,162.79",0.00,"1,220.00","1,104.00"
59,GBILD86/87,27.36,"1,027.60","1,027.60","1,027.50","1,027.50","1,027.50",0.00,0.00,"1,027.53",40.00,"1,025.25","41,101.00",2,2.25,0.10,0.22,0.01,0.00,"1,040.17","1,021.69","1,100.00",994.00
60,GBIME,23.35,253.00,257.80,253.00,255.42,255.70,-0.28,0.00,255.79,"182,111.00",254.26,"46,581,572.30",570,1.16,4.80,0.46,1.90,-0.14,232.12,231.75,302.00,210.70
61,GBLBS,23.86,860.60,869.00,858.00,858.80,859.00,-0.20,0.00,861.79,"9,048.00",865.98,"7,797,517.20",105,-7.18,11.00,-0.83,1.28,-0.35,834.82,823.32,987.00,667.10
62,GCIL,24.66,514.00,519.70,505.00,510.96,512.00,-1.04,0.00,514.28,"42,285.00",505.92,"21,746,249.00",587,5.04,14.70,1.00,2.91,-0.65,521.03,512.06,668.00,465.20
