S.N. ,Name,Listed Unit,Listed Date,Type of Listing
94.0,Super Madi Hydropower Limited (SMHL),21000000.0,2079-11-17 00:00:00,IPO
95.0,Prabhu Bank Limited (PBL),8260657.71,2079-11-21 00:00:00,Bonus
96.0,Centuray Commercial Bank Limited,4538106.87,2079-11-21 00:00:00,Bonus
97.0,First Micro Finance Laghubitta Bittiya Sanstha Limited (FMDBL),1832535.56,2079-11-21 00:00:00,Bonus
98.0,Adhikhola Laghubitta Bittiya Sanstha Limited (AKBSL),357000.0,2079-11-21 00:00:00,Bonus
99.0,ICFC Finance Limited (ICFC),563558.0,2079-11-21 00:00:00,Bonus
100.0,Prime Life Insurance Company Limited ,3613500.25,2079-11-25 00:00:00,Bonus
101.0,Butwal Power Company Limited (BPCL),1627378.0,2079-11-25 00:00:00,Bonus
102.0,Hydorelectricity Investment and Development Company Ltd (HIDCL),4357185.0,2079-11-28 00:00:00,Right 
103.0,Nabil Bank Limited (NABIL),42240881.0,2079-11-26 00:00:00,Bonus
104.0,Chilime Hydropower Company Limited (CHCL),5063846.01,2079-11-29 00:00:00,Bonus
105.0,Prime Commercial Bank Ltd. (PCBL),7462529.12,2079-12-02 00:00:00,Bonus
106.0,Gurans Laghubitta Bittiya Sanstha Limited (GLBSL),39000.0,2079-12-02 00:00:00,Bonus
107.0,Siddhartha Bank Limited (SBL),15655533.54,2079-12-05 00:00:00,Bonus
108.0,Bindhyabasini Hydropower Development Company Limited (BHDC),500000.0,2079-12-05 00:00:00,Bonus
109.0,Maya Khola Hydropower Company Limited (MKHC),10000000.0,2079-12-02 00:00:00,IPO
110.0,Super Mai Hydropower Limited (SMH),5000000.0,2079-12-02 00:00:00,IPO
111.0,Lumbini Bikas Bank Ltd. (LBBL),985287.75,2079-12-06 00:00:00,Bonus
112.0,Shine Resunga Development Bank Ltd. (SHINE),5028741.99,2079-12-06 00:00:00,Bonus
113.0,Kalinchowk Darshan Limited (KDL),6000000.0,2079-12-08 00:00:00,IPO
114.0,Asian Hydropower Limited (AHL),3400000.0,2079-12-08 00:00:00,IPO
115.0,Nepal SBI Bank Limited (SBI),2947755.9338,2079-12-12 00:00:00,Bonus
116.0,Shikhar Insurance Co. Ltd. (SICL),3688660.0,2079-12-12 00:00:00,Bonus
117.0,Neco Insurance Limited (NIL),2624818.2,2079-12-14 00:00:00,Bonus
118.0,Api Power Company Ltd. (API),2883686.0,2079-12-14 00:00:00,Bonus
119.0,RSDC Laghubitta Bittiya Sanstha Ltd. (RSDC),644124.59,2079-12-14 00:00:00,Bonus
120.0,Sadhana Laghubitta Bittiya Sanstha Limited (SDLBSL),610328.45,2079-12-14 00:00:00,Bonus
121.0,Muktinath Bikas Bank Ltd. (MNBBL),7637194.15,2079-12-15 00:00:00,Bonus
122.0,Ridi Power Company Limited (RIDI),4425432.0,2079-12-16 00:00:00,Bonus
123.0,IME General Insurance Ltd. (IGI),1020990.85,2079-12-20 00:00:00,Bonus
124.0,Wean Nepal Laghubitta Bittiya Sanstha Limited (WNLB),67650.0,2079-12-20 00:00:00,Bonus
125.0,Mahila Lagubitta Bittiya Sanstha Limited (MLBSL),700625.0,2079-12-21 00:00:00,Bonus
126.0,"Everest Bank Limited Energy Bond, 2089 (EBLEB89)",746830.0,2079-12-09 00:00:00,IPO
127.0,Sunrise Focused Equity Fund (SFEF),100000000.0,2079-12-16 00:00:00,IPO
128.0,United Insurance Co. (Nepal) Ltd. (UIC),514080.0,2079-12-23 00:00:00,Bonus
129.0,Sanima Middle Tamor Hydropower Limited (TAMOR),33325000.0,2079-12-23 00:00:00,IPO
130.0,Ngadi Group Power Ltd. (NGPL),839482.225,2079-12-26 00:00:00,Bonus
131.0,Shree Investment & Finance Co. Ltd. ,230082.0,2079-12-26 00:00:00,Bonus
132.0,Molung Hydropower Company Limited (MHCL),8025000.0,2079-12-28 00:00:00,IPO
133.0,Sagarmatha Jalabidhyut Company Limited (SMJC),11200000.0,2079-12-28 00:00:00,IPO
134.0,Pokhara Finance Ltd. (PFL),416367.92,2079-12-30 00:00:00,Bonus
135.0,Union Life Insurance Company Limited (ULI),1928550.0,2079-12-30 00:00:00,Bonus
136.0,Mahalaxmi Bikas Bank Ltd. (MLBL),1604353.31,2079-12-30 00:00:00,Bonus
137.0,Development Bond 2085 chha,10000000.0,2080-01-11 00:00:00,IPO
138.0,Nepal Hydro Developer Limited,159965.0,2080-01-12 00:00:00,Bonus
139.0,Lumbini General Insurance Company Limited,917644.5,2080-01-12 00:00:00,Bonus
