SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
41,2025-06-15,"4,231.09","4,257.10","4,176.68",(45.42),(1.08 %),"5,362.34","2,825.32","8,802,754.10","1,736",57
42,2025-06-12,"4,185.67","4,276.71","4,159.56",(-46.34),(-1.09 %),"5,362.34","2,825.32","7,853,843.40","1,550",70
43,2025-06-11,"4,232.01","4,276.05","4,196.26",(-39.54),(-0.92 %),"5,362.34","2,825.32","13,436,856.30","2,628",88
44,2025-06-10,"4,271.55","4,285.98","4,194.18",(45.25),(1.07 %),"5,362.34","2,825.32","11,943,213.10","2,391",86
45,2025-06-09,"4,226.30","4,303.83","4,162.98",(-18.68),(-0.44 %),"5,362.34","2,825.32","10,907,592.70","2,094",79
46,2025-06-08,"4,244.99","4,317.47","4,135.97",(-9.92),(-0.23 %),"5,362.34","2,825.32","26,621,211.10","5,173",170
47,2025-06-05,"4,254.91","4,364.66","4,213.19",(-36.63),(-0.85 %),"5,362.34","2,825.32","9,017,225.00","1,773",81
48,2025-06-04,"4,291.55","4,336.55","4,211.54",(21.09),(0.49 %),"5,362.34","2,825.32","15,491,751.00","3,065",84
49,2025-06-03,"4,270.45","4,391.68","4,253.91",(-59.52),(-1.37 %),"5,362.34","2,825.32","7,934,557.80","1,475",71
50,2025-06-02,"4,329.98","4,358.54","4,272.41",(-15.32),(-0.35 %),"5,362.34","2,749.23","20,510,334.40","4,060",107
51,2025-05-28,"4,345.31","4,403.85","4,268.72",(1.65),(0.03 %),"5,362.34","2,749.23","23,005,960.00","4,549",124
52,2025-05-27,"4,343.65","4,354.13","4,236.26",(40.95),(0.95 %),"5,362.34","2,739.52","10,657,585.00","2,104",62
53,2025-05-26,"4,302.69","4,394.61","4,233.19",(-5.75),(-0.13 %),"5,362.34","2,733.30","15,759,332.00","3,079",129
54,2025-05-25,"4,308.45","4,381.20","4,265.98",(5.59),(0.13 %),"5,362.34","2,733.30","15,654,115.00","3,058",93
55,2025-05-22,"4,302.86","4,387.13","4,269.70",(-35.22),(-0.81 %),"5,362.34","2,733.30","17,020,537.90","3,364",136
56,2025-05-21,"4,338.08","4,523.85","4,295.27",(-22.65),(-0.51 %),"5,362.34","2,733.30","15,073,372.80","2,894",143
57,2025-05-20,"4,360.74","4,375.99","4,289.85",(64.39),(1.49 %),"5,362.34","2,733.30","9,020,939.40","1,737",89
58,2025-05-19,"4,296.34","4,362.56","4,271.68",(24.66),(0.57 %),"5,362.34","2,722.59","7,281,268.40","1,391",70
59,2025-05-18,"4,271.68","4,459.62","4,226.04",(-117.67),(-2.68 %),"5,362.34","2,707.57","21,641,227.10","4,111",163
60,2025-05-15,"4,389.35","4,450.27","4,352.58",(30.84),(0.70 %),"5,362.34","2,707.57","13,576,979.30","2,564",118
61,2025-05-14,"4,358.51","4,472.42","4,336.63",(-30.46),(-0.69 %),"5,362.34","2,697.34","22,888,451.00","4,264",177
62,2025-05-13,"4,388.97","4,586.00","4,370.96",(-111.02),(-2.46 %),"5,362.34","2,696.49","46,020,645.00","8,661",258
63,2025-05-11,"4,500.00","4,902.01","4,483.70",(16.30),(0.36 %),"5,362.34","2,673.13","16,995,788.80","3,217",103
64,2025-05-08,"4,483.70","4,654.86","4,444.02",(-91.58),(-2.00 %),"5,362.34","2,671.02","19,739,420.00","3,574",121
65,2025-05-07,"4,575.28","4,578.77","4,464.92",(24.33),(0.53 %),"5,362.34","2,667.00","7,910,391.90","1,497",62
66,2025-05-06,"4,550.95","4,666.94","4,438.85",(90.67),(2.03 %),"5,362.34","2,667.00","60,386,428.60","12,118",87
67,2025-05-05,"4,460.27","4,551.82","4,424.63",(-32.79),(-0.72 %),"5,362.34","2,667.00","14,475,286.00","2,767",83
68,2025-05-04,"4,493.07","4,613.08","4,437.48",(-38.18),(-0.84 %),"5,362.34","2,667.00","14,414,315.40","2,772",111
69,2025-04-30,"4,531.25","4,587.78","4,483.48",(18.50),(0.40 %),"5,362.34","2,667.00","17,667,648.30","3,393",140
70,2025-04-29,"4,512.75","4,955.69","4,494.72",(-23.55),(-0.51 %),"5,362.34","2,667.00","22,294,861.30","4,151",165
71,2025-04-28,"4,536.31","4,676.64","4,515.92",(19.24),(0.42 %),"5,362.34","2,667.00","12,287,120.10","2,368",121
72,2025-04-27,"4,517.06","4,754.58","4,434.56",(52.81),(1.18 %),"5,362.34","2,667.00","28,650,057.00","5,240",183
73,2025-04-24,"4,464.25","4,580.28","4,414.99",(17.72),(0.39 %),"5,362.34","2,667.00","8,515,152.30","1,505",87
74,2025-04-23,"4,446.52","4,545.28","4,421.70",(-13.53),(-0.30 %),"5,362.34","2,667.00","9,899,251.30","1,837",91
75,2025-04-22,"4,460.06","4,606.11","4,417.43",(-74.85),(-1.65 %),"5,362.34","2,667.00","45,308,315.80","8,404",196
76,2025-04-21,"4,534.91","4,656.07","4,498.71",(-70.44),(-1.52 %),"5,362.34","2,667.00","17,797,209.30","3,259",133
77,2025-04-20,"4,605.35","4,641.15","4,480.28",(46.81),(1.02 %),"5,362.34","2,667.00","12,055,430.40","2,151",117
78,2025-04-17,"4,558.54","4,650.50","4,486.21",(-6.95),(-0.15 %),"5,362.34","2,667.00","13,036,771.30","2,390",105
79,2025-04-16,"4,565.50","4,645.60","4,528.28",(5.06),(0.11 %),"5,362.34","2,667.00","5,111,956.00",893,52
80,2025-04-15,"4,560.43","4,676.45","4,532.91",(-29.70),(-0.64 %),"5,362.34","2,667.00","13,631,256.50","2,459",119
81,2025-04-13,"4,590.13","4,725.46","4,566.77",(-65.41),(-1.40 %),"5,362.34","2,667.00","10,893,757.50","1,916",92
82,2025-04-10,"4,655.55","4,746.00","4,583.14",(-5.21),(-0.11 %),"5,362.34","2,667.00","16,894,493.30","2,921",125
83,2025-04-09,"4,660.76","4,819.27","4,578.85",(-19.11),(-0.40 %),"5,362.34","2,667.00","24,945,650.60","4,241",195
84,2025-04-08,"4,679.88","4,728.80","4,487.63",(32.78),(0.70 %),"5,362.34","2,667.00","23,879,372.80","4,219",186
85,2025-04-07,"4,647.09","4,818.29","4,586.27",(-149.29),(-3.11 %),"5,362.34","2,667.00","31,987,065.80","5,558",205
86,2025-04-03,"4,796.38","5,062.29","4,749.00",(-81.22),(-1.66 %),"5,362.34","2,667.00","44,259,760.30","7,565",267
87,2025-04-02,"4,877.61","4,886.65","4,391.74",(420.89),(9.44 %),"5,362.34","2,667.00","79,032,432.50","13,224",439
88,2025-04-01,"4,456.71","4,548.57","4,214.89",(163.50),(3.80 %),"5,362.34","2,667.00","31,225,382.90","5,584",261
89,2025-03-30,"4,293.21","4,412.21","4,262.29",(-11.33),(-0.26 %),"5,362.34","2,667.00","27,220,664.70","5,006",192
90,2025-03-27,"4,304.55","4,366.33","4,012.24",(247.16),(6.09 %),"5,362.34","2,667.00","35,440,545.20","6,494",288
91,2025-03-26,"4,057.38","4,080.25","3,955.36",(40.30),(1.00 %),"5,362.34","2,667.00","10,439,825.00","2,017",57
92,2025-03-25,"4,017.07","4,165.91","4,013.68",(-75.84),(-1.85 %),"5,362.34","2,667.00","12,635,360.00","2,428",111
93,2025-03-24,"4,092.92","4,156.83","4,005.53",(43.10),(1.06 %),"5,362.34","2,667.00","8,280,953.20","1,578",84
94,2025-03-23,"4,049.81","4,167.27","4,048.88",(-118.02),(-2.83 %),"5,362.34","2,667.00","13,166,761.00","2,519",93
95,2025-03-20,"4,167.84","4,222.40","4,092.40",(11.15),(0.26 %),"5,362.34","2,667.00","5,727,868.90","1,075",57
96,2025-03-19,"4,156.69","4,235.12","4,153.83",(25.00),(0.60 %),"5,362.34","2,667.00","5,667,781.10","1,056",62
97,2025-03-18,"4,131.68","4,263.41","4,131.68",(-27.85),(-0.66 %),"5,362.34","2,667.00","14,805,458.30","2,765",89
98,2025-03-17,"4,159.54","4,376.13","4,145.83",(-145.86),(-3.38 %),"5,362.34","2,667.00","11,091,622.70","2,067",96
99,2025-03-16,"4,305.41","4,305.41","4,030.54",(202.01),(4.92 %),"5,362.34","2,667.00","15,924,871.90","2,986",152
100,2025-03-12,"4,103.40","4,169.54","4,094.54",(8.85),(0.21 %),"5,362.34","2,667.00","22,820,109.20","4,273",124
101,2025-03-11,"4,094.54","4,230.87","4,091.68",(-74.94),(-1.79 %),"5,362.34","2,667.00","21,355,660.40","3,971",114
102,2025-03-10,"4,169.48","4,305.98","4,165.40",(-70.06),(-1.65 %),"5,362.34","2,667.00","13,744,638.30","2,525",104
103,2025-03-09,"4,239.55","4,343.12","4,206.04",(-34.92),(-0.81 %),"5,362.34","2,667.00","18,115,091.40","3,310",95
104,2025-03-06,"4,274.47","4,310.48","4,241.97",(-10.35),(-0.24 %),"5,362.34","2,667.00","11,870,842.00","2,158",61
105,2025-03-05,"4,284.83","4,315.55","4,237.69",(18.57),(0.43 %),"5,362.34","2,667.00","12,976,213.40","2,359",86
106,2025-03-04,"4,266.26","4,351.98","4,252.69",(-36.50),(-0.84 %),"5,362.34","2,667.00","17,911,194.20","3,243",115
107,2025-03-03,"4,302.76","4,413.13","4,260.96",(-36.58),(-0.84 %),"5,362.34","2,667.00","30,588,027.90","5,495",175
108,2025-03-02,"4,339.35","4,339.35","4,246.04",(45.87),(1.06 %),"5,362.34","2,667.00","28,823,201.20","5,202",159
109,2025-02-27,"4,293.47","4,322.04","4,208.43",(51.07),(1.20 %),"5,362.34","2,667.00","13,584,407.40","2,450",87
