SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
30,2025-06-30,19.27,19.29,19.09,(0.06),(0.36 %),22.38,18.90,"7,293,716.18","727,984",567
31,2025-06-29,19.20,19.25,19.03,(0.07),(0.37 %),22.38,18.90,"17,703,425.48","1,752,278",639
32,2025-06-26,19.13,19.17,18.99,(0.00),(0.05 %),22.38,18.90,"29,098,504.42","2,788,059",529
33,2025-06-25,19.12,19.13,19.02,(0.01),(0.09 %),22.38,18.90,"14,654,353.21","1,493,777",587
34,2025-06-24,19.10,19.12,18.94,(0.05),(0.27 %),22.38,18.83,"10,898,739.75","1,122,095",555
35,2025-06-23,19.05,19.16,18.99,(-0.06),(-0.34 %),22.38,18.74,"34,704,355.70","3,435,557",557
36,2025-06-22,19.11,19.21,19.06,(-0.07),(-0.37 %),22.38,18.74,"9,354,433.04","925,727",454
37,2025-06-19,19.18,19.24,19.13,(-0.05),(-0.26 %),22.38,18.74,"35,218,013.00","3,415,148",576
38,2025-06-18,19.23,19.24,19.05,(0.06),(0.35 %),22.38,18.74,"38,365,851.70","3,722,856",552
39,2025-06-17,19.17,19.25,19.11,(-0.06),(-0.34 %),22.38,18.74,"5,942,208.39","604,572",533
40,2025-06-16,19.23,19.24,19.03,(0.06),(0.35 %),22.38,18.74,"46,214,512.06","4,286,475",727
41,2025-06-15,19.17,19.25,19.05,(-0.08),(-0.41 %),22.38,18.74,"11,702,772.84","1,244,485",627
42,2025-06-12,19.25,19.25,19.10,(0.01),(0.09 %),22.38,18.74,"7,255,665.33","736,824",497
43,2025-06-11,19.23,19.25,19.08,(0.00),(-0.02 %),22.38,18.74,"5,658,270.68","572,557",520
44,2025-06-10,19.23,19.27,19.09,(0.04),(0.23 %),22.38,18.74,"11,355,097.90","1,237,342",576
45,2025-06-09,19.19,19.22,19.07,(0.01),(0.07 %),22.38,18.74,"3,977,110.32","414,074",555
46,2025-06-08,19.17,19.22,19.09,(-0.02),(-0.10 %),22.38,18.74,"9,210,424.08","933,676",645
47,2025-06-05,19.19,19.21,19.11,(-0.03),(-0.16 %),22.38,18.74,"5,103,060.66","521,048",543
48,2025-06-04,19.23,19.26,19.08,(0.08),(0.46 %),22.38,18.74,"20,660,447.04","2,049,000",707
49,2025-06-03,19.14,19.17,18.97,(0.00),(-0.01 %),22.38,18.74,"11,935,038.02","1,174,499",617
50,2025-06-02,19.14,19.16,18.97,(0.00),(0.01 %),22.38,18.74,"6,723,311.24","706,271",687
51,2025-05-28,19.14,19.16,18.99,(0.02),(0.11 %),22.38,18.74,"11,527,326.55","1,200,067",550
52,2025-05-27,19.12,19.14,18.96,(0.03),(0.19 %),22.38,18.74,"7,948,106.44","783,846",547
53,2025-05-26,19.08,19.11,19.01,(-0.01),(-0.08 %),22.38,18.74,"7,078,802.12","739,812",559
54,2025-05-25,19.10,19.10,18.96,(-0.58),(-2.96 %),22.38,18.74,"28,097,676.00","2,738,624",697
55,2025-05-22,19.68,19.70,19.58,(0.01),(0.06 %),22.38,18.74,"6,269,171.92","640,704",520
56,2025-05-21,19.67,19.69,19.54,(0.03),(0.19 %),22.38,18.69,"5,362,795.60","560,848",477
57,2025-05-20,19.63,19.64,19.41,(0.06),(0.33 %),22.38,18.63,"20,287,109.67","1,998,744",547
58,2025-05-19,19.56,19.59,19.45,(0.04),(0.23 %),22.38,18.40,"16,212,029.38","1,580,568",545
59,2025-05-18,19.52,19.57,19.43,(-0.04),(-0.24 %),22.38,18.20,"6,890,105.31","737,974",599
60,2025-05-15,19.56,19.59,19.41,(0.05),(0.29 %),22.38,18.20,"23,533,756.83","2,345,336",572
61,2025-05-14,19.51,19.55,19.42,(-0.03),(-0.19 %),22.38,18.20,"11,688,341.24","1,222,442",727
62,2025-05-13,19.54,19.61,19.49,(-0.03),(-0.18 %),22.38,18.12,"20,316,422.71","2,046,380",737
63,2025-05-11,19.58,19.68,19.47,(-0.06),(-0.35 %),22.38,18.09,"17,499,611.90","1,695,183",526
64,2025-05-08,19.65,19.67,19.44,(0.01),(0.07 %),22.38,18.06,"30,871,120.17","3,025,637",634
65,2025-05-07,19.64,19.64,19.42,(0.11),(0.57 %),22.38,18.06,"10,760,740.04","1,063,113",523
66,2025-05-06,19.52,19.63,19.46,(-0.02),(-0.13 %),22.38,18.06,"8,890,036.35","902,762",535
67,2025-05-05,19.55,19.61,19.47,(0.04),(0.20 %),22.38,18.06,"15,834,196.33","1,671,708",496
68,2025-05-04,19.51,19.59,19.43,(-0.08),(-0.41 %),22.38,18.06,"6,672,460.07","677,665",522
69,2025-04-30,19.59,19.59,19.41,(0.04),(0.23 %),22.38,18.06,"20,939,086.86","2,154,405",513
70,2025-04-29,19.55,19.59,19.44,(0.01),(0.07 %),22.38,18.06,"15,868,737.70","1,705,054",496
71,2025-04-28,19.53,19.63,19.50,(-0.08),(-0.45 %),22.38,18.06,"12,394,528.20","1,277,273",523
72,2025-04-27,19.62,19.66,19.53,(0.04),(0.24 %),22.38,18.06,"34,248,511.55","3,288,929",557
73,2025-04-24,19.57,19.60,19.40,(0.05),(0.25 %),22.38,17.98,"20,307,912.28","2,040,116",556
74,2025-04-23,19.52,19.54,19.46,(0.04),(0.21 %),22.38,17.98,"19,399,660.45","1,938,028",586
75,2025-04-22,19.48,19.56,19.47,(-0.07),(-0.40 %),22.38,17.98,"33,060,813.54","3,246,157",635
76,2025-04-21,19.56,19.58,19.35,(0.08),(0.44 %),22.38,17.98,"10,512,885.44","1,060,955",604
77,2025-04-20,19.47,19.52,19.35,(-0.04),(-0.23 %),22.38,17.98,"18,938,592.99","1,958,021",549
78,2025-04-17,19.52,19.57,19.36,(0.12),(0.62 %),22.38,17.98,"15,423,415.82","1,584,304",685
79,2025-04-16,19.40,19.42,19.27,(0.07),(0.36 %),22.38,17.98,"9,421,883.00","998,447",539
80,2025-04-15,19.33,19.34,19.23,(-0.01),(-0.07 %),22.38,17.98,"6,033,517.61","629,102",383
81,2025-04-13,19.34,19.35,19.12,(0.05),(0.26 %),22.38,17.98,"12,933,919.73","1,346,170",468
82,2025-04-10,19.29,19.30,19.16,(0.03),(0.15 %),22.38,17.98,"6,821,194.13","708,423",447
83,2025-04-09,19.26,19.28,19.08,(0.11),(0.59 %),22.38,17.98,"21,331,602.63","2,306,044",545
