SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
30,2025-06-30,"2,331.07","2,358.32","2,329.59",(-1.40),(-0.06 %),"3,975.49","2,313.15","79,872,669.50","156,178","1,302"
31,2025-06-29,"2,332.48","2,338.12","2,315.04",(14.84),(0.64 %),"3,975.49","2,313.15","102,586,464.50","200,765","1,640"
32,2025-06-26,"2,317.64","2,345.88","2,316.41",(-9.50),(-0.40 %),"3,975.49","2,313.15","107,680,486.00","210,524","1,782"
33,2025-06-25,"2,327.15","2,356.01","2,323.68",(-11.41),(-0.48 %),"3,975.49","2,313.15","81,404,174.60","157,724","1,417"
34,2025-06-24,"2,338.56","2,387.46","2,335.88",(-17.46),(-0.74 %),"3,975.49","2,313.15","101,228,317.50","194,832","1,627"
35,2025-06-23,"2,356.03","2,367.55","2,334.81",(17.06),(0.72 %),"3,975.49","2,313.15","117,692,842.40","228,875","2,011"
36,2025-06-22,"2,338.96","2,376.53","2,337.22",(-25.87),(-1.09 %),"3,975.49","2,313.15","110,086,223.10","211,866","1,866"
37,2025-06-19,"2,364.83","2,402.81","2,362.61",(-22.30),(-0.93 %),"3,975.49","2,298.74","172,461,819.90","335,464","2,508"
38,2025-06-18,"2,387.13","2,426.07","2,385.49",(-11.24),(-0.46 %),"3,975.49","2,239.86","129,792,514.70","246,371","1,840"
39,2025-06-17,"2,398.38","2,430.89","2,390.94",(-11.82),(-0.49 %),"3,975.49","2,239.86","145,637,185.90","275,814","1,764"
40,2025-06-16,"2,410.20","2,454.95","2,409.09",(-29.96),(-1.22 %),"3,975.49","2,239.86","219,106,519.40","404,289","2,686"
41,2025-06-15,"2,440.17","2,485.73","2,435.96",(-14.67),(-0.59 %),"3,975.49","2,239.86","261,379,361.60","469,319","2,984"
42,2025-06-12,"2,454.84","2,490.77","2,427.09",(21.74),(0.89 %),"3,975.49","2,235.08","278,459,593.88","498,966","3,898"
43,2025-06-11,"2,433.10","2,496.14","2,429.85",(-32.42),(-1.31 %),"3,975.49","2,211.28","265,156,110.20","480,570","3,658"
44,2025-06-10,"2,465.53","2,472.13","2,345.24",(120.29),(5.12 %),"3,975.49","2,164.48","371,503,176.40","696,907","4,694"
45,2025-06-09,"2,345.24","2,365.75","2,329.53",(13.88),(0.59 %),"3,975.49","2,138.55","101,922,751.40","199,536","1,517"
46,2025-06-08,"2,331.35","2,365.73","2,327.91",(-21.53),(-0.91 %),"3,975.49","2,138.55","110,294,934.90","214,367","1,812"
47,2025-06-05,"2,352.88","2,381.41","2,346.05",(-7.05),(-0.29 %),"3,975.49","2,138.55","100,695,633.10","192,044","1,751"
48,2025-06-04,"2,359.94","2,395.12","2,357.96",(-21.43),(-0.90 %),"3,975.49","2,138.55","89,241,666.90","170,220","1,439"
49,2025-06-03,"2,381.38","2,419.45","2,379.82",(-20.10),(-0.83 %),"3,975.49","2,138.55","84,307,896.20","160,379","1,320"
50,2025-06-02,"2,401.48","2,452.71","2,399.73",(4.32),(0.18 %),"3,975.49","2,138.55","97,542,492.70","185,022","1,663"
51,2025-05-28,"2,397.16","2,403.85","2,382.74",(4.43),(0.18 %),"3,975.49","2,138.55","88,218,495.50","168,208","1,518"
52,2025-05-27,"2,392.73","2,419.03","2,392.73",(-14.69),(-0.61 %),"3,975.49","2,138.55","73,890,395.20","139,522","1,340"
53,2025-05-26,"2,407.42","2,494.37","2,403.50",(-2.95),(-0.12 %),"3,975.49","2,112.44","118,714,813.30","216,199","1,810"
54,2025-05-25,"2,410.37","2,461.08","2,404.22",(-24.18),(-0.99 %),"3,975.49","2,112.44","95,193,842.60","176,404","1,503"
