SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
44,2025-06-10,"13,023.53","13,041.43","12,860.35",(139.57),(1.08 %),"14,838.88","9,773.22","333,166,620.55","517,328","5,136"
45,2025-06-09,"12,883.96","12,940.36","12,830.27",(-12.63),(-0.09 %),"14,838.88","9,773.22","254,457,520.90","375,407","5,716"
46,2025-06-08,"12,896.59","13,023.34","12,852.33",(-100.47),(-0.77 %),"14,838.88","9,773.22","292,408,939.40","413,708","7,026"
47,2025-06-05,"12,997.07","13,093.74","12,973.78",(-73.36),(-0.56 %),"14,838.88","9,773.22","231,598,870.90","322,282","5,125"
48,2025-06-04,"13,070.43","13,184.48","13,033.89",(-63.48),(-0.48 %),"14,838.88","9,773.22","226,831,656.80","333,667","4,924"
49,2025-06-03,"13,133.92","13,261.71","13,123.39",(-98.87),(-0.74 %),"14,838.88","9,773.22","224,359,962.70","304,891","5,343"
50,2025-06-02,"13,232.80","13,354.94","13,219.99",(31.24),(0.23 %),"14,838.88","9,773.22","371,646,710.20","498,468","8,069"
51,2025-05-28,"13,201.56","13,257.73","13,147.41",(-32.56),(-0.24 %),"14,838.88","9,773.22","442,779,970.30","583,078","7,294"
52,2025-05-27,"13,234.12","13,276.96","13,201.98",(-72.94),(-0.54 %),"14,838.88","9,773.22","257,051,107.30","312,070","5,315"
53,2025-05-26,"13,307.07","13,622.37","13,275.88",(-27.44),(-0.20 %),"14,838.88","9,773.22","360,275,535.10","458,377","5,727"
54,2025-05-25,"13,334.51","13,473.83","13,282.95",(-45.37),(-0.33 %),"14,838.88","9,773.22","354,248,567.40","429,246","5,900"
55,2025-05-22,"13,379.88","13,464.51","13,323.64",(-20.25),(-0.15 %),"14,838.88","9,773.22","451,471,161.60","443,123","6,828"
56,2025-05-21,"13,400.14","13,917.56","13,392.42",(-21.34),(-0.15 %),"14,838.88","9,773.22","449,749,602.00","592,742","6,910"
57,2025-05-20,"13,421.49","13,445.57","13,131.10",(176.13),(1.32 %),"14,838.88","9,773.22","505,442,839.00","484,175","8,227"
58,2025-05-19,"13,245.35","13,290.11","13,183.51",(54.79),(0.41 %),"14,838.88","9,773.22","445,799,241.50","403,564","8,269"
59,2025-05-18,"13,190.55","13,288.57","13,159.76",(-89.72),(-0.67 %),"14,838.88","9,773.22","426,036,905.80","419,253","9,117"
60,2025-05-15,"13,280.28","13,363.95","13,257.50",(-55.76),(-0.41 %),"14,838.88","9,773.22","494,262,280.90","475,736","12,624"
61,2025-05-14,"13,336.05","13,526.53","13,331.33",(-116.84),(-0.86 %),"14,838.88","9,773.22","889,403,284.20","608,227","28,341"
62,2025-05-13,"13,452.89","13,507.84","13,325.17",(127.38),(0.95 %),"14,838.88","9,773.22","453,926,742.90","457,687","7,354"
63,2025-05-11,"13,325.50","13,472.36","13,297.85",(15.07),(0.11 %),"14,838.88","9,750.86","436,342,964.50","519,949","5,294"
64,2025-05-08,"13,310.43","13,415.47","13,296.02",(1.70),(0.01 %),"14,838.88","9,750.86","337,255,449.10","462,449","4,423"
65,2025-05-07,"13,308.73","13,339.35","12,999.61",(318.01),(2.44 %),"14,838.88","9,750.86","325,732,964.30","548,030","4,919"
66,2025-05-06,"12,990.71","13,094.39","12,973.76",(16.94),(0.13 %),"14,838.88","9,750.86","212,492,701.50","358,790","3,579"
67,2025-05-05,"12,973.76","13,104.96","12,921.89",(-15.13),(-0.11 %),"14,838.88","9,750.86","267,127,467.90","447,162","3,792"
68,2025-05-04,"12,988.90","13,150.40","12,980.20",(-36.70),(-0.28 %),"14,838.88","9,750.86","272,407,485.00","436,971","4,411"
69,2025-04-30,"13,025.60","13,094.92","13,016.63",(-10.03),(-0.07 %),"14,838.88","9,750.86","248,915,318.00","388,224","3,525"
70,2025-04-29,"13,035.63","13,182.19","13,019.15",(-70.93),(-0.54 %),"14,838.88","9,750.86","220,675,959.95","333,519","3,164"
71,2025-04-28,"13,106.57","13,206.09","13,094.63",(-18.35),(-0.13 %),"14,838.88","9,750.86","259,576,394.20","409,309","3,748"
72,2025-04-27,"13,124.92","13,215.01","13,083.01",(-15.72),(-0.11 %),"14,838.88","9,750.86","422,654,366.00","570,123","5,132"
73,2025-04-24,"13,140.65","13,261.70","13,118.99",(-42.99),(-0.32 %),"14,838.88","9,750.86","255,419,722.00","357,923","3,577"
74,2025-04-23,"13,183.65","13,274.25","13,158.88",(-60.92),(-0.45 %),"14,838.88","9,750.86","300,088,490.90","426,054","3,560"
75,2025-04-22,"13,244.57","13,365.45","13,221.14",(-32.53),(-0.24 %),"14,838.88","9,750.86","242,351,753.10","377,111","3,825"
76,2025-04-21,"13,277.11","13,327.69","13,225.07",(-22.15),(-0.16 %),"14,838.88","9,750.86","318,490,134.70","374,592","4,287"
77,2025-04-20,"13,299.27","13,473.82","13,282.91",(-117.49),(-0.87 %),"14,838.88","9,750.86","307,199,400.40","380,385","4,381"
78,2025-04-17,"13,416.76","13,489.32","13,292.30",(112.07),(0.84 %),"14,838.88","9,750.86","531,171,092.40","634,291","6,826"
79,2025-04-16,"13,304.69","13,334.27","13,258.25",(7.20),(0.05 %),"14,838.88","9,750.86","354,735,800.50","397,790","4,233"
