SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
80,2025-04-15,"5,539.26","5,567.42","5,402.86",(133.25),(2.46 %),"6,126.27","3,848.45","575,251,758.30","691,305","4,023"
81,2025-04-13,"5,406.01","5,460.31","5,397.76",(-42.39),(-0.77 %),"6,126.27","3,848.45","594,866,818.20","618,684","3,352"
82,2025-04-10,"5,448.40","5,464.29","5,423.45",(1.95),(0.03 %),"6,126.27","3,848.45","490,047,332.60","537,846","2,572"
83,2025-04-09,"5,446.44","5,489.72","5,402.12",(16.20),(0.29 %),"6,126.27","3,848.45","234,794,808.60","346,970","2,352"
84,2025-04-08,"5,430.24","5,445.12","5,376.71",(-8.79),(-0.16 %),"6,126.27","3,848.45","473,896,315.80","558,020","2,905"
85,2025-04-07,"5,439.03","5,528.83","5,426.56",(-61.47),(-1.11 %),"6,126.27","3,848.45","393,060,783.80","486,832","2,878"
86,2025-04-03,"5,500.50","5,568.24","5,475.01",(-9.59),(-0.17 %),"6,126.27","3,848.45","426,823,231.30","540,606","3,167"
87,2025-04-02,"5,510.09","5,550.79","5,476.82",(16.68),(0.30 %),"6,126.27","3,848.45","403,877,231.50","467,731","2,945"
88,2025-04-01,"5,493.41","5,570.07","5,482.80",(-52.83),(-0.95 %),"6,126.27","3,848.45","470,113,007.20","572,645","3,932"
89,2025-03-30,"5,546.24","5,614.62","5,466.05",(45.49),(0.82 %),"6,126.27","3,848.45","552,795,471.60","731,749","4,599"
90,2025-03-27,"5,500.75","5,506.30","5,401.05",(60.31),(1.10 %),"6,126.27","3,848.45","626,882,496.10","798,671","3,545"
91,2025-03-26,"5,440.43","5,464.25","5,335.90",(64.06),(1.19 %),"6,126.27","3,848.45","347,544,570.20","436,303","3,177"
92,2025-03-25,"5,376.37","5,537.75","5,357.48",(-166.11),(-2.99 %),"6,126.27","3,848.45","608,628,718.10","836,594","4,720"
93,2025-03-24,"5,542.49","5,584.82","5,436.22",(39.53),(0.71 %),"6,126.27","3,848.45","475,197,056.50","596,912","3,990"
94,2025-03-23,"5,502.95","5,646.63","5,486.13",(-129.86),(-2.30 %),"6,126.27","3,848.45","848,425,632.40","1,060,234","5,805"
95,2025-03-20,"5,632.82","5,685.86","5,602.55",(-10.37),(-0.18 %),"6,126.27","3,848.45","578,011,899.20","792,669","4,909"
96,2025-03-19,"5,643.19","5,691.94","5,614.38",(-7.40),(-0.13 %),"6,126.27","3,848.45","676,595,198.60","898,460","4,660"
97,2025-03-18,"5,650.60","5,751.42","5,632.87",(-24.32),(-0.42 %),"6,126.27","3,848.45","445,893,155.20","563,561","3,401"
98,2025-03-17,"5,674.93","5,752.70","5,648.07",(-52.97),(-0.92 %),"6,126.27","3,848.45","628,910,514.80","1,011,647","4,408"
99,2025-03-16,"5,727.90","5,850.52","5,692.55",(-131.92),(-2.25 %),"6,126.27","3,848.45","935,829,328.20","1,521,159","6,830"
100,2025-03-12,"5,859.82","5,992.02","5,839.82",(-19.48),(-0.33 %),"6,126.27","3,848.45","994,715,944.10","1,573,484","7,197"
101,2025-03-11,"5,879.31","5,995.97","5,745.64",(111.57),(1.93 %),"6,126.27","3,848.45","1,508,553,338.80","2,731,771","10,724"
102,2025-03-10,"5,767.73","5,859.84","5,747.80",(-42.70),(-0.73 %),"6,126.27","3,848.45","613,901,229.22","876,241","4,230"
103,2025-03-09,"5,810.44","5,913.75","5,780.14",(-101.17),(-1.71 %),"6,126.27","3,848.45","720,865,812.60","942,245","5,110"
104,2025-03-06,"5,911.61","5,917.20","5,781.51",(108.15),(1.86 %),"6,126.27","3,848.45","1,016,370,462.80","1,478,316","7,191"
105,2025-03-05,"5,803.46","5,885.83","5,754.97",(-77.25),(-1.31 %),"6,126.27","3,848.45","845,727,974.40","1,025,367","4,820"
106,2025-03-04,"5,880.72","5,982.00","5,852.89",(-23.16),(-0.39 %),"6,126.27","3,848.45","1,252,273,586.30","1,386,714","6,918"
107,2025-03-03,"5,903.88","6,023.04","5,861.90",(-50.07),(-0.84 %),"6,126.27","3,801.69","912,151,312.00","1,085,617","6,148"
108,2025-03-02,"5,953.95","5,956.13","5,739.59",(222.88),(3.88 %),"6,126.27","3,801.69","1,252,435,490.20","1,441,763","7,218"
109,2025-02-27,"5,731.07","5,769.71","5,666.17",(86.83),(1.53 %),"6,126.27","3,801.69","741,809,768.10","919,140","4,388"
110,2025-02-25,"5,644.24","5,709.88","5,609.27",(-7.23),(-0.12 %),"6,126.27","3,801.69","551,656,948.20","632,652","3,523"
111,2025-02-24,"5,651.48","5,738.55","5,635.72",(-5.42),(-0.09 %),"6,126.27","3,801.69","736,882,019.62","882,288","4,173"
112,2025-02-23,"5,656.91","5,683.45","5,540.68",(-27.40),(-0.48 %),"6,126.27","3,801.69","585,612,683.50","860,162","4,132"
113,2025-02-20,"5,684.31","5,722.64","5,644.78",(-30.01),(-0.52 %),"6,126.27","3,801.69","550,328,421.70","678,101","3,775"
114,2025-02-18,"5,714.33","5,808.59","5,690.00",(-101.73),(-1.74 %),"6,126.27","3,801.69","808,278,872.90","1,006,428","5,096"
115,2025-02-17,"5,816.06","5,820.57","5,754.72",(19.50),(0.33 %),"6,126.27","3,801.69","777,760,910.20","1,039,335","4,833"
116,2025-02-16,"5,796.56","5,799.05","5,715.78",(5.10),(0.08 %),"6,126.27","3,801.69","733,037,793.40","849,796","4,870"
117,2025-02-13,"5,791.45","5,879.83","5,764.39",(-55.74),(-0.95 %),"6,126.27","3,801.69","790,443,362.30","831,753","4,804"
118,2025-02-12,"5,847.20","5,890.07","5,773.72",(77.26),(1.33 %),"6,126.27","3,801.69","1,021,027,216.00","1,130,028","6,876"
119,2025-02-11,"5,769.93","5,769.93","5,630.86",(134.08),(2.37 %),"6,126.27","3,801.69","808,356,768.70","924,081","5,739"
120,2025-02-10,"5,635.84","5,709.39","5,603.22",(-11.91),(-0.21 %),"6,126.27","3,801.69","641,673,735.60","793,662","4,563"
121,2025-02-09,"5,647.76","5,768.37","5,637.46",(-77.68),(-1.35 %),"6,126.27","3,801.69","647,669,556.00","747,429","4,119"
122,2025-02-06,"5,725.44","5,818.08","5,699.28",(-89.54),(-1.53 %),"6,126.27","3,801.69","807,144,328.20","942,406","4,875"
123,2025-02-05,"5,814.99","5,850.64","5,766.23",(-53.64),(-0.91 %),"6,126.27","3,801.69","694,455,806.80","802,971","4,933"
124,2025-02-04,"5,868.63","6,004.17","5,847.17",(-156.87),(-2.60 %),"6,126.27","3,801.69","602,981,018.70","839,290","5,006"
125,2025-02-03,"6,025.50","6,069.86","5,909.83",(-23.76),(-0.39 %),"6,126.27","3,801.69","1,372,430,795.20","1,711,611","7,870"
126,2025-02-02,"6,049.27","6,049.27","5,800.17",(184.75),(3.15 %),"6,126.27","3,801.69","1,521,226,900.80","1,712,332","9,633"
127,2025-01-28,"5,864.52","5,865.20","5,603.25",(229.78),(4.07 %),"6,126.27","3,801.69","1,376,817,710.40","1,668,288","8,492"
128,2025-01-27,"5,634.74","5,634.74","5,540.95",(40.52),(0.72 %),"6,126.27","3,801.69","1,044,766,487.40","1,092,525","6,208"
129,2025-01-26,"5,594.21","5,612.47","5,509.55",(33.24),(0.59 %),"6,126.27","3,801.69","1,140,008,585.00","1,157,700","6,377"
130,2025-01-23,"5,560.96","5,594.61","5,490.70",(45.88),(0.83 %),"6,126.27","3,801.69","1,023,867,359.00","1,076,085","5,338"
131,2025-01-22,"5,515.08","5,526.54","5,333.56",(147.29),(2.74 %),"6,126.27","3,801.69","817,611,342.50","972,254","5,188"
132,2025-01-21,"5,367.78","5,380.04","5,320.41",(10.68),(0.19 %),"6,126.27","3,801.69","607,338,939.10","789,276","3,615"
133,2025-01-20,"5,357.10","5,404.54","5,321.63",(-32.46),(-0.60 %),"6,126.27","3,801.69","435,317,315.00","594,991","3,218"
134,2025-01-19,"5,389.56","5,392.26","5,318.64",(11.01),(0.20 %),"6,126.27","3,801.69","477,196,706.80","628,503","3,563"
135,2025-01-16,"5,378.55","5,477.92","5,351.03",(-48.17),(-0.88 %),"6,126.27","3,801.69","532,884,017.30","654,868","3,757"
136,2025-01-15,"5,426.72","5,486.01","5,380.68",(58.13),(1.08 %),"6,126.27","3,801.69","526,235,302.20","634,442","4,121"
137,2025-01-13,"5,368.58","5,419.63","5,337.41",(-31.39),(-0.58 %),"6,126.27","3,801.69","557,212,315.20","744,568","4,191"
138,2025-01-12,"5,399.98","5,516.50","5,357.08",(-88.11),(-1.60 %),"6,126.27","3,801.69","484,347,629.30","640,411","3,510"
139,2025-01-09,"5,488.09","5,639.31","5,477.19",(-114.48),(-2.04 %),"6,126.27","3,801.69","910,386,541.80","1,036,717","5,119"
140,2025-01-08,"5,602.57","5,612.83","5,479.36",(138.58),(2.53 %),"6,126.27","3,801.69","695,980,891.90","913,543","5,444"
141,2025-01-07,"5,463.99","5,512.58","5,423.32",(43.75),(0.80 %),"6,126.27","3,801.69","557,222,138.10","715,172","3,950"
142,2025-01-06,"5,420.23","5,421.71","5,288.50",(130.45),(2.46 %),"6,126.27","3,801.69","407,335,117.80","632,389","3,504"
143,2025-01-05,"5,289.77","5,365.62","5,281.63",(1.19),(0.02 %),"6,126.27","3,801.69","385,273,941.10","525,239","3,782"
144,2025-01-02,"5,288.58","5,308.87","5,141.55",(124.23),(2.40 %),"6,126.27","3,801.69","487,828,232.50","652,951","3,587"
145,2025-01-01,"5,164.35","5,193.24","5,083.50",(85.69),(1.68 %),"6,126.27","3,801.69","316,692,378.30","519,149","2,695"
146,2024-12-31,"5,078.65","5,215.41","5,009.50",(-145.10),(-2.77 %),"6,126.27","3,801.69","415,414,101.40","752,269","4,650"
147,2024-12-29,"5,223.76","5,359.43","5,215.96",(-142.35),(-2.65 %),"6,126.27","3,801.69","472,884,094.50","743,156","4,418"
148,2024-12-26,"5,366.11","5,488.89","5,338.33",(-136.96),(-2.48 %),"6,126.27","3,801.69","520,446,335.00","707,788","4,354"
149,2024-12-24,"5,503.08","5,583.58","5,403.84",(95.17),(1.75 %),"6,126.27","3,801.69","514,045,409.40","751,723","4,530"
150,2024-12-23,"5,407.90","5,410.15","5,324.05",(61.57),(1.15 %),"6,126.27","3,801.69","344,082,991.40","509,869","3,021"
151,2024-12-22,"5,346.33","5,462.03","5,317.69",(-112.25),(-2.05 %),"6,126.27","3,801.69","315,283,954.08","519,329","3,261"
152,2024-12-19,"5,458.59","5,543.60","5,418.25",(-69.56),(-1.25 %),"6,126.27","3,801.69","503,855,782.40","753,107","3,318"
153,2024-12-18,"5,528.15","5,574.60","5,496.87",(-9.01),(-0.16 %),"6,126.27","3,801.69","414,484,151.50","582,142","3,465"
