SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
37,2025-06-19,"2,284.75","2,332.69","2,282.85",(-25.88),(-1.12 %),"2,554.47","1,587.62","466,838,200.00","440,739","23,258"
38,2025-06-18,"2,310.64","2,326.45","2,300.73",(4.56),(0.19 %),"2,554.47","1,587.62","197,260,708.50","211,421","2,562"
39,2025-06-17,"2,306.07","2,332.74","2,304.18",(-3.65),(-0.15 %),"2,554.47","1,587.62","142,452,291.30","150,721","2,315"
40,2025-06-16,"2,309.72","2,338.37","2,301.95",(-7.64),(-0.33 %),"2,554.47","1,587.62","236,962,678.30","255,884","3,304"
41,2025-06-15,"2,317.37","2,347.27","2,313.64",(-10.79),(-0.46 %),"2,554.47","1,587.62","270,461,560.60","286,092","3,462"
42,2025-06-12,"2,328.17","2,355.01","2,318.82",(-6.86),(-0.29 %),"2,554.47","1,587.62","349,648,392.60","357,152","2,699"
43,2025-06-11,"2,335.04","2,376.00","2,331.42",(-37.44),(-1.57 %),"2,554.47","1,587.62","248,820,143.00","239,724","1,977"
44,2025-06-10,"2,372.49","2,384.97","2,337.04",(35.45),(1.51 %),"2,554.47","1,587.62","765,945,571.90","779,757","2,890"
45,2025-06-09,"2,337.04","2,340.58","2,261.12",(60.05),(2.63 %),"2,554.47","1,587.62","508,140,470.60","474,339","3,488"
46,2025-06-08,"2,276.98","2,310.07","2,272.26",(-22.97),(-0.99 %),"2,554.47","1,587.62","241,911,833.20","262,878","2,676"
47,2025-06-05,"2,299.96","2,333.98","2,294.00",(-15.62),(-0.67 %),"2,554.47","1,587.62","204,287,243.40","210,978","2,258"
48,2025-06-04,"2,315.58","2,347.95","2,309.17",(-12.79),(-0.54 %),"2,554.47","1,587.62","190,711,949.80","199,009","1,999"
49,2025-06-03,"2,328.37","2,368.83","2,323.98",(-23.05),(-0.98 %),"2,554.47","1,587.62","193,136,537.50","191,604","1,976"
50,2025-06-02,"2,351.43","2,371.67","2,347.48",(8.63),(0.36 %),"2,554.47","1,587.62","359,715,916.90","352,384","3,283"
51,2025-05-28,"2,342.80","2,364.49","2,328.64",(-1.42),(-0.06 %),"2,554.47","1,587.62","249,100,720.10","238,114","2,211"
52,2025-05-27,"2,344.22","2,354.84","2,337.89",(-4.77),(-0.20 %),"2,554.47","1,587.62","216,380,960.00","209,297","2,046"
53,2025-05-26,"2,348.99","2,406.76","2,342.81",(-11.37),(-0.48 %),"2,554.47","1,587.62","340,392,432.60","324,654","2,561"
54,2025-05-25,"2,360.36","2,389.13","2,357.86",(-10.89),(-0.45 %),"2,554.47","1,587.62","303,080,733.20","296,117","2,722"
55,2025-05-22,"2,371.26","2,393.65","2,350.03",(-3.13),(-0.13 %),"2,554.47","1,587.62","715,223,533.70","661,839","3,999"
56,2025-05-21,"2,374.40","2,445.30","2,353.51",(-15.10),(-0.63 %),"2,554.47","1,587.62","796,871,138.40","734,879","4,416"
57,2025-05-20,"2,389.51","2,391.64","2,346.33",(19.98),(0.84 %),"2,554.47","1,587.62","460,864,920.20","425,161","3,499"
58,2025-05-19,"2,369.52","2,406.58","2,323.35",(10.51),(0.44 %),"2,554.47","1,587.62","988,386,653.90","886,357","6,233"
59,2025-05-18,"2,359.01","2,363.02","2,247.93",(94.94),(4.19 %),"2,554.47","1,587.62","1,177,928,878.90","1,058,829","6,024"
60,2025-05-15,"2,264.06","2,309.22","2,255.44",(-26.21),(-1.14 %),"2,554.47","1,587.62","230,141,683.80","231,672","2,348"
61,2025-05-14,"2,290.27","2,316.02","2,225.08",(55.12),(2.46 %),"2,554.47","1,587.62","546,596,393.00","540,152","4,430"
62,2025-05-13,"2,235.15","2,273.87","2,231.39",(-13.63),(-0.60 %),"2,554.47","1,587.62","250,385,205.20","257,633","2,485"
63,2025-05-11,"2,248.78","2,310.38","2,243.97",(-34.20),(-1.49 %),"2,554.47","1,580.67","336,285,534.50","339,809","2,738"
64,2025-05-08,"2,282.99","2,338.54","2,277.25",(-42.15),(-1.81 %),"2,554.47","1,580.38","229,384,030.60","237,557","2,620"
65,2025-05-07,"2,325.14","2,332.53","2,260.87",(55.19),(2.43 %),"2,554.47","1,580.38","338,722,543.40","348,195","3,199"
66,2025-05-06,"2,269.95","2,336.46","2,264.98",(-36.48),(-1.58 %),"2,554.47","1,580.38","369,704,795.60","378,487","3,424"
67,2025-05-05,"2,306.44","2,333.75","2,295.23",(-5.24),(-0.22 %),"2,554.47","1,580.38","255,605,495.10","266,179","2,346"
68,2025-05-04,"2,311.68","2,350.08","2,309.50",(-0.52),(-0.02 %),"2,554.47","1,580.38","326,576,185.10","325,278","2,783"
69,2025-04-30,"2,312.20","2,360.55","2,310.63",(-27.26),(-1.16 %),"2,554.47","1,580.38","373,661,295.40","377,821","2,909"
70,2025-04-29,"2,339.46","2,388.65","2,332.53",(-17.73),(-0.75 %),"2,554.47","1,580.38","344,493,729.70","362,295","2,699"
71,2025-04-28,"2,357.20","2,400.88","2,345.93",(-5.15),(-0.21 %),"2,554.47","1,580.38","382,320,552.20","363,902","2,622"
72,2025-04-27,"2,362.35","2,401.82","2,355.74",(-13.60),(-0.57 %),"2,554.47","1,580.38","492,595,359.70","468,985","3,164"
73,2025-04-24,"2,375.95","2,392.39","2,357.50",(-3.29),(-0.13 %),"2,554.47","1,580.38","322,703,837.60","310,111","2,525"
74,2025-04-23,"2,379.25","2,426.57","2,371.24",(-36.28),(-1.50 %),"2,554.47","1,580.38","503,173,176.30","455,663","2,984"
75,2025-04-22,"2,415.53","2,428.82","2,340.54",(52.37),(2.21 %),"2,554.47","1,580.38","771,089,202.50","714,574","4,764"
76,2025-04-21,"2,363.16","2,407.71","2,358.01",(-23.88),(-1.00 %),"2,554.47","1,580.38","472,577,655.70","460,283","3,599"
77,2025-04-20,"2,387.05","2,441.49","2,383.25",(-25.08),(-1.03 %),"2,554.47","1,580.38","379,787,412.10","358,572","2,898"
78,2025-04-17,"2,412.13","2,442.98","2,396.33",(8.94),(0.37 %),"2,554.47","1,580.38","647,029,507.20","613,971","4,449"
79,2025-04-16,"2,403.19","2,451.30","2,397.80",(-26.16),(-1.07 %),"2,554.47","1,580.38","480,154,026.30","465,975","3,355"
80,2025-04-15,"2,429.35","2,460.28","2,419.52",(14.89),(0.61 %),"2,554.47","1,580.38","502,987,332.40","474,869","3,625"
81,2025-04-13,"2,414.46","2,446.91","2,406.46",(-19.60),(-0.80 %),"2,554.47","1,580.38","611,941,160.60","576,127","3,820"
82,2025-04-10,"2,434.06","2,478.75","2,429.91",(-22.27),(-0.90 %),"2,554.47","1,580.38","510,690,130.90","496,122","3,456"
83,2025-04-09,"2,456.34","2,484.74","2,444.14",(9.04),(0.36 %),"2,554.47","1,580.38","533,657,653.30","472,779","3,440"
84,2025-04-08,"2,447.29","2,491.39","2,422.71",(-14.16),(-0.57 %),"2,554.47","1,580.38","690,364,567.70","634,768","4,620"
85,2025-04-07,"2,461.46","2,503.06","2,454.20",(-11.01),(-0.44 %),"2,554.47","1,580.38","879,896,389.80","779,051","5,650"
86,2025-04-03,"2,472.47","2,492.25","2,422.90",(35.47),(1.45 %),"2,554.47","1,580.38","1,356,846,387.30","1,200,443","7,422"
87,2025-04-02,"2,436.99","2,460.57","2,419.54",(8.54),(0.35 %),"2,554.47","1,580.38","576,193,571.00","536,701","3,970"
88,2025-04-01,"2,428.45","2,473.75","2,412.06",(-34.37),(-1.39 %),"2,554.47","1,580.38","962,825,073.30","916,228","5,873"
89,2025-03-30,"2,462.82","2,498.75","2,397.65",(50.32),(2.08 %),"2,554.47","1,580.38","1,261,055,677.30","1,162,742","8,553"
90,2025-03-27,"2,412.50","2,418.02","2,353.52",(41.33),(1.74 %),"2,554.47","1,580.38","831,557,520.90","789,923","5,913"
91,2025-03-26,"2,371.17","2,385.84","2,313.50",(48.72),(2.09 %),"2,554.47","1,580.38","771,527,490.10","733,110","5,085"
92,2025-03-25,"2,322.44","2,401.35","2,320.11",(-43.11),(-1.82 %),"2,554.47","1,580.38","514,461,274.70","505,076","3,637"
93,2025-03-24,"2,365.56","2,376.79","2,313.04",(34.96),(1.50 %),"2,554.47","1,580.38","496,940,735.70","503,679","4,301"
94,2025-03-23,"2,330.59","2,379.54","2,327.88",(-40.94),(-1.72 %),"2,554.47","1,580.38","835,015,987.20","816,122","4,963"
95,2025-03-20,"2,371.54","2,401.59","2,366.15",(-14.09),(-0.59 %),"2,554.47","1,580.38","563,498,837.50","528,048","3,514"
96,2025-03-19,"2,385.63","2,417.48","2,368.71",(-12.28),(-0.51 %),"2,554.47","1,580.38","517,567,677.20","502,484","3,790"
