SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
29,2025-07-01,111.27,111.58,108.23,(2.58),(2.38 %),122.74,75.34,"818,285,527.70","830,770","4,621"
30,2025-06-30,108.68,109.22,108.30,(0.03),(0.02 %),122.74,75.26,"412,534,016.40","480,730","2,305"
31,2025-06-29,108.65,109.20,107.85,(0.35),(0.32 %),122.74,75.26,"353,576,457.00","562,556","2,630"
32,2025-06-26,108.30,109.65,108.09,(-0.69),(-0.64 %),122.74,75.26,"369,418,520.20","613,146","2,666"
33,2025-06-25,109.00,109.84,108.64,(-0.43),(-0.40 %),122.74,75.26,"613,907,525.10","573,025","2,735"
34,2025-06-24,109.44,110.45,109.32,(0.29),(0.27 %),122.74,75.26,"490,499,181.30","543,373","3,023"
35,2025-06-23,109.14,109.37,108.23,(0.40),(0.37 %),122.74,75.26,"292,768,624.90","429,547","2,374"
36,2025-06-22,108.74,110.30,108.60,(-1.08),(-0.98 %),122.74,75.26,"366,145,729.60","591,628","3,102"
37,2025-06-19,109.82,111.30,109.70,(-0.81),(-0.73 %),122.74,75.26,"447,863,950.00","743,823","3,224"
38,2025-06-18,110.63,111.63,110.24,(-0.02),(-0.02 %),122.74,75.26,"362,609,553.00","562,317","2,546"
39,2025-06-17,110.66,111.82,110.41,(-0.48),(-0.43 %),122.74,75.26,"310,615,843.10","492,897","2,365"
40,2025-06-16,111.15,112.28,110.54,(-0.15),(-0.13 %),122.74,75.26,"558,164,705.70","994,387","3,657"
41,2025-06-15,111.30,112.77,111.11,(-0.85),(-0.76 %),122.74,75.26,"594,103,430.80","1,013,058","3,899"
42,2025-06-12,112.16,113.25,111.92,(-0.46),(-0.41 %),122.74,75.26,"832,270,663.60","918,547","3,750"
43,2025-06-11,112.62,115.16,112.60,(-1.22),(-1.07 %),122.74,75.26,"609,605,372.90","799,224","3,560"
44,2025-06-10,113.85,115.19,112.52,(0.77),(0.68 %),122.74,75.26,"1,067,800,978.62","1,457,824","5,401"
45,2025-06-09,113.08,113.34,110.95,(1.28),(1.14 %),122.74,75.26,"998,385,468.10","965,411","4,542"
46,2025-06-08,111.79,112.77,111.53,(-0.09),(-0.08 %),122.74,75.26,"795,587,581.00","1,218,253","3,888"
47,2025-06-05,111.89,112.44,111.37,(0.04),(0.03 %),122.74,75.26,"558,415,499.60","815,598","3,207"
48,2025-06-04,111.85,112.86,111.33,(-0.09),(-0.08 %),122.74,75.26,"372,805,133.80","583,022","2,652"
49,2025-06-03,111.94,113.98,111.78,(-1.46),(-1.29 %),122.74,75.26,"460,110,089.82","680,423","3,148"
50,2025-06-02,113.41,114.66,112.38,(2.53),(2.28 %),122.74,75.26,"925,001,728.80","1,988,179","6,459"
51,2025-05-28,110.87,111.38,110.39,(0.03),(0.03 %),122.74,75.26,"404,564,849.80","617,496","2,731"
52,2025-05-27,110.83,111.53,110.36,(-0.28),(-0.26 %),122.74,75.26,"425,665,692.40","519,699","2,436"
53,2025-05-26,111.12,114.75,110.88,(-0.17),(-0.15 %),122.74,75.26,"489,569,346.00","776,794","2,901"
54,2025-05-25,111.30,113.09,111.09,(-1.16),(-1.03 %),122.74,75.26,"396,647,783.70","576,115","2,754"
55,2025-05-22,112.46,113.95,112.39,(-0.44),(-0.39 %),122.74,75.26,"554,169,770.90","749,725","3,318"
56,2025-05-21,112.91,117.29,112.53,(-0.15),(-0.13 %),122.74,75.26,"787,910,905.50","1,188,173","4,307"
57,2025-05-20,113.07,113.42,109.85,(2.58),(2.33 %),122.74,75.26,"555,391,266.30","738,684","3,549"
58,2025-05-19,110.49,111.38,109.25,(0.79),(0.72 %),122.74,75.26,"430,338,404.80","536,580","2,919"
59,2025-05-18,109.69,110.87,109.41,(-0.30),(-0.27 %),122.74,74.39,"774,030,882.90","738,188","3,354"
60,2025-05-15,110.00,110.73,109.66,(-0.05),(-0.04 %),122.74,74.39,"415,665,620.50","612,004","3,302"
61,2025-05-14,110.05,111.67,109.94,(-1.21),(-1.08 %),122.74,74.39,"631,004,395.10","812,312","4,107"
