SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
46,2025-06-08,152.64,153.87,152.49,(-0.71),(-0.46 %),177.64,117.09,"5,516,401,489.96","11,895,358","37,972"
47,2025-06-05,153.35,154.44,152.97,(0.08),(0.05 %),177.64,117.09,"4,622,680,995.00","10,089,464","33,638"
48,2025-06-04,153.27,154.49,153.07,(-0.96),(-0.62 %),177.64,117.09,"2,812,418,311.60","6,806,940","25,007"
49,2025-06-03,154.23,157.24,154.07,(-2.53),(-1.61 %),177.64,117.09,"3,783,069,406.92","8,507,915","27,845"
50,2025-06-02,156.77,159.29,156.30,(-0.22),(-0.14 %),177.64,117.09,"5,497,243,383.40","12,911,678","38,504"
51,2025-05-28,157.00,157.27,154.83,(1.59),(1.02 %),177.64,117.09,"5,096,865,831.60","11,919,748","37,477"
52,2025-05-27,155.40,156.10,153.82,(0.30),(0.19 %),177.64,117.09,"3,674,882,118.90","8,081,967","26,748"
53,2025-05-26,155.10,159.53,154.54,(-0.15),(-0.09 %),177.64,117.09,"4,303,343,473.00","9,424,456","31,059"
54,2025-05-25,155.25,156.59,154.06,(-0.52),(-0.33 %),177.64,117.09,"3,830,188,509.00","8,204,215","28,017"
55,2025-05-22,155.77,156.42,153.42,(2.54),(1.65 %),177.64,117.09,"4,855,921,004.90","11,456,972","35,916"
56,2025-05-21,153.23,159.38,153.13,(0.03),(0.02 %),177.64,117.09,"5,280,615,508.10","11,654,445","36,438"
57,2025-05-20,153.19,153.56,149.19,(3.08),(2.05 %),177.64,117.09,"3,372,446,019.50","7,384,173","26,647"
58,2025-05-19,150.11,150.38,148.25,(1.66),(1.12 %),177.64,117.09,"3,033,232,977.70","6,663,632","24,201"
59,2025-05-18,148.45,149.87,148.13,(-0.69),(-0.46 %),177.64,117.09,"3,767,315,233.10","8,065,892","29,152"
60,2025-05-15,149.15,150.35,148.84,(-0.68),(-0.45 %),177.64,117.03,"3,222,539,261.00","7,286,118","27,016"
61,2025-05-14,149.83,151.37,149.79,(-1.04),(-0.69 %),177.64,117.03,"4,506,204,076.40","10,100,319","34,664"
62,2025-05-13,150.88,152.54,150.81,(-0.28),(-0.18 %),177.64,114.60,"4,957,743,856.60","10,833,152","37,344"
63,2025-05-11,151.17,153.08,151.11,(-0.73),(-0.48 %),177.64,114.54,"5,349,566,799.80","11,617,543","36,279"
64,2025-05-08,151.90,153.36,151.66,(-0.93),(-0.61 %),177.64,114.20,"6,140,126,988.10","14,240,165","44,840"
65,2025-05-07,152.84,153.06,149.09,(3.74),(2.51 %),177.64,114.10,"5,421,577,680.50","12,729,191","41,773"
66,2025-05-06,149.09,149.90,148.99,(0.10),(0.07 %),177.64,113.66,"5,043,889,299.40","11,691,644","38,784"
67,2025-05-05,148.99,149.73,148.49,(-0.31),(-0.21 %),177.64,113.66,"4,546,764,200.30","10,203,734","32,846"
68,2025-05-04,149.30,150.71,149.24,(0.06),(0.04 %),177.64,113.66,"5,120,205,896.92","12,055,078","38,778"
69,2025-04-30,149.24,150.29,149.20,(-0.34),(-0.23 %),177.64,113.66,"4,997,933,713.64","11,906,847","37,461"
70,2025-04-29,149.59,150.43,149.08,(-0.19),(-0.13 %),177.64,113.66,"4,160,368,960.70","9,293,228","30,405"
71,2025-04-28,149.78,151.55,149.75,(-1.17),(-0.77 %),177.64,113.66,"4,361,985,544.30","10,883,946","34,005"
72,2025-04-27,150.96,151.98,150.46,(0.45),(0.30 %),177.64,113.28,"5,811,120,132.70","14,076,593","42,812"
73,2025-04-24,150.51,150.86,149.10,(0.53),(0.35 %),177.64,113.28,"4,220,365,965.50","9,785,221","32,704"
74,2025-04-23,149.97,151.94,149.46,(-1.94),(-1.27 %),177.64,113.28,"3,921,238,732.60","8,976,558","28,548"
75,2025-04-22,151.92,153.58,151.84,(-1.29),(-0.84 %),177.64,113.28,"3,499,653,734.40","8,432,681","28,480"
76,2025-04-21,153.21,154.30,152.87,(-0.39),(-0.25 %),177.64,113.28,"4,106,921,191.10","10,130,597","34,348"
77,2025-04-20,153.60,155.06,153.31,(-0.59),(-0.38 %),177.64,113.28,"4,276,771,809.40","10,282,525","33,709"
78,2025-04-17,154.20,154.86,152.37,(2.03),(1.33 %),177.64,113.28,"3,988,641,449.20","9,308,084","34,765"
79,2025-04-16,152.17,152.91,151.40,(0.66),(0.44 %),177.64,113.28,"3,047,652,450.50","7,120,386","24,586"
80,2025-04-15,151.50,152.30,150.70,(1.41),(0.94 %),177.64,113.28,"2,636,618,871.80","6,137,880","23,353"
81,2025-04-13,150.09,150.45,149.63,(0.15),(0.10 %),177.64,113.28,"2,322,750,704.80","5,167,636","19,783"
82,2025-04-10,149.93,150.87,149.77,(-0.03),(-0.02 %),177.64,113.28,"2,260,343,994.90","5,301,855","18,914"
83,2025-04-09,149.97,151.05,149.79,(0.50),(0.33 %),177.64,113.28,"1,657,659,587.20","3,421,931","16,058"
84,2025-04-08,149.46,149.81,147.87,(-0.36),(-0.24 %),177.64,113.28,"1,873,815,734.40","3,574,786","18,038"
85,2025-04-07,149.83,151.90,149.64,(-1.52),(-1.00 %),177.64,113.28,"1,931,750,659.30","4,037,653","18,978"
86,2025-04-03,151.36,153.07,150.41,(0.98),(0.65 %),177.64,113.28,"2,435,367,500.30","5,460,270","22,715"
87,2025-04-02,150.38,151.44,149.77,(0.45),(0.30 %),177.64,113.28,"1,686,358,304.40","3,936,004","17,356"
88,2025-04-01,149.92,151.36,149.04,(-1.06),(-0.70 %),177.64,113.28,"1,684,584,844.70","3,405,747","16,783"
89,2025-03-30,150.98,152.33,149.34,(1.39),(0.93 %),177.64,113.28,"2,238,570,226.36","4,818,607","23,230"
90,2025-03-27,149.58,149.71,147.52,(1.96),(1.33 %),177.64,113.28,"1,578,708,645.40","3,424,253","17,559"
91,2025-03-26,147.61,147.81,145.35,(2.02),(1.39 %),177.64,113.28,"1,132,752,057.31","2,767,764","15,034"
92,2025-03-25,145.59,149.31,145.46,(-2.83),(-1.91 %),177.64,113.28,"1,647,346,970.37","3,943,995","21,004"
93,2025-03-24,148.42,148.80,145.85,(1.28),(0.87 %),177.64,113.28,"1,330,976,990.10","3,287,785","17,849"
94,2025-03-23,147.14,150.26,147.09,(-2.86),(-1.91 %),177.64,113.28,"1,955,442,519.79","4,202,121","22,636"
95,2025-03-20,150.00,150.99,149.97,(-0.71),(-0.47 %),177.64,113.28,"1,332,708,686.50","3,202,448","16,870"
96,2025-03-19,150.72,151.93,150.50,(-0.95),(-0.63 %),177.64,113.28,"1,570,023,945.20","3,296,650","16,828"
97,2025-03-18,151.68,153.56,151.27,(-0.40),(-0.26 %),177.64,113.28,"1,207,163,176.70","2,687,756","14,998"
98,2025-03-17,152.08,153.61,151.65,(-0.36),(-0.23 %),177.64,113.28,"1,726,448,581.80","3,480,100","17,330"
99,2025-03-16,152.45,154.13,151.66,(-1.45),(-0.94 %),177.64,113.28,"2,132,923,865.40","4,583,626","22,705"
100,2025-03-12,153.91,154.64,153.04,(0.75),(0.49 %),177.64,113.28,"2,368,180,590.10","4,620,611","22,126"
101,2025-03-11,153.15,155.16,152.78,(-1.06),(-0.69 %),177.64,113.28,"2,955,073,278.80","6,436,789","27,926"
102,2025-03-10,154.22,156.50,153.67,(-1.21),(-0.78 %),177.64,113.28,"2,601,632,085.80","5,162,806","23,453"
103,2025-03-09,155.43,158.15,155.14,(-2.45),(-1.55 %),177.64,113.28,"3,092,073,903.00","5,919,626","28,727"
104,2025-03-06,157.88,158.13,157.05,(0.37),(0.23 %),177.64,113.28,"2,922,180,448.10","5,680,340","27,070"
105,2025-03-05,157.51,159.91,156.69,(-1.84),(-1.15 %),177.64,113.28,"3,228,023,899.08","6,917,651","28,636"
106,2025-03-04,159.36,161.73,159.09,(-1.61),(-1.00 %),177.64,113.28,"3,990,008,818.00","8,948,957","36,671"
107,2025-03-03,160.97,164.40,160.45,(-1.31),(-0.81 %),177.64,113.28,"4,585,520,729.20","9,518,441","44,578"
108,2025-03-02,162.29,162.29,158.48,(4.80),(3.04 %),177.64,113.28,"4,782,005,121.10","10,631,049","46,212"
109,2025-02-27,157.49,158.99,155.58,(3.53),(2.29 %),177.64,113.28,"3,496,702,224.30","8,090,295","33,480"
110,2025-02-25,153.95,154.84,153.65,(0.17),(0.11 %),177.64,113.28,"2,449,952,666.60","5,303,039","24,604"
111,2025-02-24,153.77,155.52,153.24,(0.00),(0.00 %),177.64,113.28,"3,140,110,863.00","6,589,882","27,682"
112,2025-02-23,153.77,154.56,150.65,(0.12),(0.07 %),177.64,113.28,"3,042,645,117.80","6,573,870","28,217"
113,2025-02-20,153.64,154.74,153.15,(-0.59),(-0.38 %),177.64,113.28,"2,172,935,404.70","4,447,339","22,945"
114,2025-02-18,154.23,155.77,153.58,(-0.08),(-0.05 %),177.64,113.28,"2,755,918,226.90","5,590,551","25,564"
115,2025-02-17,154.31,154.81,152.49,(2.17),(1.43 %),177.64,113.28,"2,982,107,141.70","6,420,991","30,137"
116,2025-02-16,152.14,152.26,150.89,(1.03),(0.68 %),177.64,113.28,"2,648,569,516.80","5,541,309","26,656"
117,2025-02-13,151.10,151.91,150.85,(-0.20),(-0.13 %),177.64,113.28,"2,377,430,464.60","5,087,945","23,703"
118,2025-02-12,151.31,151.97,150.91,(0.24),(0.16 %),177.64,113.28,"2,160,800,816.35","4,329,902","21,758"
119,2025-02-11,151.06,151.68,150.74,(-0.06),(-0.04 %),177.64,113.28,"1,847,918,332.00","3,775,343","19,026"
120,2025-02-10,151.13,152.21,150.41,(-0.41),(-0.27 %),177.64,113.28,"1,724,039,067.00","3,807,498","19,501"
121,2025-02-09,151.54,153.45,151.31,(-0.70),(-0.46 %),177.64,113.28,"2,406,938,933.20","5,233,420","24,186"
122,2025-02-06,152.25,153.40,151.85,(-0.56),(-0.36 %),177.64,113.28,"2,662,240,574.78","5,676,393","26,534"
