SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
60,2025-05-15,"1,301.82","1,309.50","1,299.78",(-3.95),(-0.30 %),"1,712.18","1,051.41","286,374,289.60","1,081,641","4,871"
61,2025-05-14,"1,305.78","1,317.62","1,304.65",(-6.43),(-0.49 %),"1,712.18","1,051.41","233,670,715.60","943,646","3,987"
62,2025-05-13,"1,312.22","1,330.42","1,311.71",(-4.02),(-0.30 %),"1,712.18","1,024.00","285,736,711.66","1,066,642","4,833"
63,2025-05-11,"1,316.24","1,333.02","1,315.61",(-7.30),(-0.55 %),"1,712.18","1,019.54","274,146,172.90","1,076,947","4,672"
64,2025-05-08,"1,323.55","1,342.66","1,317.90",(-11.03),(-0.82 %),"1,712.18","1,014.79","336,076,248.60","1,319,505","5,348"
65,2025-05-07,"1,334.59","1,337.66","1,289.59",(38.58),(2.97 %),"1,712.18","1,014.79","480,026,218.50","1,970,274","6,655"
66,2025-05-06,"1,296.00","1,307.90","1,294.68",(-4.57),(-0.35 %),"1,712.18","1,014.79","257,971,567.30","998,005","4,731"
67,2025-05-05,"1,300.58","1,308.72","1,297.69",(-5.06),(-0.38 %),"1,712.18","1,014.79","281,417,252.00","1,089,007","4,732"
68,2025-05-04,"1,305.65","1,318.26","1,304.42",(1.43),(0.10 %),"1,712.18","1,014.79","405,308,190.72","1,546,179","5,717"
69,2025-04-30,"1,304.21","1,317.78","1,301.92",(-9.23),(-0.70 %),"1,712.18","1,014.79","420,327,500.84","1,691,289","6,213"
70,2025-04-29,"1,313.45","1,330.54","1,313.05",(-7.58),(-0.57 %),"1,712.18","1,014.79","343,997,618.90","1,333,311","5,001"
71,2025-04-28,"1,321.03","1,334.42","1,321.03",(-8.68),(-0.65 %),"1,712.18","1,014.79","380,432,758.80","1,534,437","5,386"
72,2025-04-27,"1,329.71","1,340.89","1,328.66",(-5.24),(-0.39 %),"1,712.18","1,014.79","603,536,124.00","2,343,301","6,166"
73,2025-04-24,"1,334.96","1,342.66","1,324.43",(0.46),(0.03 %),"1,712.18","1,014.79","381,710,771.00","1,550,642","5,619"
74,2025-04-23,"1,334.49","1,351.12","1,328.54",(-16.68),(-1.23 %),"1,712.18","1,014.79","579,067,656.40","2,298,146","6,800"
75,2025-04-22,"1,351.17","1,363.79","1,349.65",(-10.05),(-0.73 %),"1,712.18","1,014.79","346,072,970.90","1,306,793","5,010"
76,2025-04-21,"1,361.23","1,375.50","1,359.65",(-11.74),(-0.85 %),"1,712.18","1,014.79","482,477,086.30","1,766,110","5,876"
77,2025-04-20,"1,372.98","1,395.67","1,369.04",(-9.77),(-0.70 %),"1,712.18","1,014.79","627,321,045.40","2,212,266","7,933"
78,2025-04-17,"1,382.75","1,386.56","1,365.87",(15.63),(1.14 %),"1,712.18","1,014.79","416,753,414.00","1,534,779","5,805"
