SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
30,2025-06-30,"3,561.49","3,596.25","3,551.43",(-10.13),(-0.28 %),"3,894.76","2,555.88","3,739,773,541.40","8,992,661","33,779"
31,2025-06-29,"3,571.62","3,575.79","3,550.46",(19.40),(0.54 %),"3,894.76","2,555.88","4,388,299,386.30","9,927,986","41,761"
32,2025-06-26,"3,552.22","3,600.40","3,541.93",(3.82),(0.10 %),"3,894.76","2,555.88","5,443,945,819.70","12,695,267","45,961"
33,2025-06-25,"3,548.39","3,554.36","3,505.46",(23.71),(0.67 %),"3,894.76","2,555.88","3,663,842,026.00","8,595,954","35,220"
34,2025-06-24,"3,524.67","3,591.21","3,520.31",(-15.68),(-0.44 %),"3,894.76","2,555.88","3,514,271,754.20","8,640,458","33,900"
35,2025-06-23,"3,540.36","3,552.62","3,494.04",(14.85),(0.42 %),"3,894.76","2,555.88","4,337,201,842.50","10,171,783","37,372"
36,2025-06-22,"3,525.50","3,629.53","3,521.43",(-100.97),(-2.78 %),"3,894.76","2,555.88","6,166,214,089.40","14,737,691","47,168"
37,2025-06-19,"3,626.47","3,693.44","3,618.44",(-49.57),(-1.34 %),"3,894.76","2,555.88","7,651,222,577.70","19,354,304","64,367"
38,2025-06-18,"3,676.05","3,679.25","3,642.28",(27.04),(0.74 %),"3,894.76","2,555.88","6,032,775,366.90","13,864,691","46,144"
39,2025-06-17,"3,649.00","3,653.58","3,604.49",(9.85),(0.27 %),"3,894.76","2,555.88","4,864,132,398.60","10,533,765","38,821"
40,2025-06-16,"3,639.14","3,728.84","3,635.45",(-37.00),(-1.00 %),"3,894.76","2,555.88","9,053,853,713.60","21,541,456","65,401"
41,2025-06-15,"3,676.15","3,684.31","3,651.01",(35.01),(0.96 %),"3,894.76","2,555.88","7,910,419,364.00","17,300,969","55,920"
42,2025-06-12,"3,641.14","3,695.16","3,632.82",(8.23),(0.22 %),"3,894.76","2,555.88","8,287,533,005.60","19,612,044","63,737"
43,2025-06-11,"3,632.90","3,637.85","3,573.13",(40.84),(1.13 %),"3,894.76","2,555.88","6,294,071,671.60","14,094,473","47,255"
44,2025-06-10,"3,592.06","3,630.09","3,584.60",(16.56),(0.46 %),"3,894.76","2,555.88","5,256,384,225.40","12,683,456","41,317"
45,2025-06-09,"3,575.50","3,580.33","3,489.22",(82.24),(2.35 %),"3,894.76","2,527.07","4,966,410,006.40","11,397,816","39,960"
46,2025-06-08,"3,493.26","3,496.85","3,451.68",(42.42),(1.22 %),"3,894.76","2,502.90","5,373,260,046.65","12,238,051","42,585"
